0x166D319: Bourrinos
0x166D820: Melmetal
0x166D82B: Pikachu
0x166D836: Pikachu
0x166D841: Pikachu
0x166D84C: Pikachu
0x166D857: Pikachu
0x166D862: Pikachu
0x166D86D: Pikachu
0x166D878: Pikachu
0x166D883: Pikachu
0x166D88E: Pikachu
0x166D899: Pikachu
0x166D8A4: Pikachu
0x166D8AF: Pikachu
0x166D8BA: Pikachu
0x166D8C5: Pikachu
0x166D8D0: Pichu
0x166D8DB: Xerneas
0x166D8E6: Ouistempo
0x166D8F1: Badabouin
0x166D8FC: Gorythmic
0x166D907: Flambino
0x166D912: Lapyro
0x166D91D: Pyrobut
0x166D928: Larméléon
0x166D933: Arrozard
0x166D93E: Lézargus
0x166D949: Rongourmand
0x166D954: Rongrigou
0x166D95F: Minisange
0x166D96A: Corvsquire
0x166D975: Chevalier Corv
0x166D980: Larvadar
0x166D98B: Coléodôme
0x166D996: Astronelle
0x166D9A1: Goupilou
0x166D9AC: Roublenard
0x166D9B7: Tournicoton
0x166D9C2: Blancoton
0x166D9CD: Moumouton
0x166D9D8: Moumouflon
0x166D9E3: Khélocrok
0x166D9EE: Torgamord
0x166D9F9: Voltoutou
0x166DA04: Fulgudog
0x166DA0F: Charbi
0x166DA1A: Wagomine
0x166DA25: Monthracite
0x166DA30: Verpom
0x166DA3B: Pomdrapi
0x166DA46: Dratatin
0x166DA51: Dunaja
0x166DA5C: Dunaconda
0x166DA67: Nigosier
0x166DA72: Embrochet
0x166DA7D: Chou
0x166DA88: Toxizap
0x166DA93: Salarsen
0x166DA9E: Grillepattes
0x166DAA9: CentsBorch
0x166DAB4: Poulpaf
0x166DABF: Krakos
0x166DACA: Théffroi
0x166DAD5: Poltégeiste
0x166DAE0: Bibichut
0x166DAEB: Chapotus
0x166DAF6: Sorcilence
0x166DB01: Grimalin
0x166DB0C: Fourbelin
0x166DB17: Angoliath
0x166DB22: Ixon
0x166DB2D: Berserkatt
0x166DB38: Corayôme
0x166DB43: Sirfetch'd
0x166DB4E: M. Glaquette
0x166DB59: Tutétékri
0x166DB64: Crèmy
0x166DB6F: Charmilly
0x166DB7A: Hexadron
0x166DB85: Wattapik
0x166DB90: Frissonille
0x166DB9B: Beldeneige
0x166DBA6: Stonjörner
0x166DBB1: Bekaglaçon
0x166DBBC: Wimessir
0x166DBC7: Morpeko
0x166DBD2: Charibari
0x166DBDD: Pachyradjah
0x166DBE8: Galvagon
0x166DBF3: Galvagla
0x166DBFE: Hydragon
0x166DC09: Hydragla
0x166DC14: Duralugon
0x166DC1F: Fantyrm
0x166DC2A: Dispareptil
0x166DC35: Lanssorien
0x166DC40: Zacian
0x166DC4B: Zamazenta
0x166DC56: Éthernatos
0x166DC61: Wushours
0x166DC6C: Shifours
0x166DC77: Zarude
0x166DC82: Regieleki
0x166DC8D: Regidrago
0x166DC98: Blizzeval
0x166DCA3: Spectreval
0x166DCAE: Sylveroy
0x166DCB9: Nigosier
0x166DCC4: Nigosier
0x166DCCF: Salarsen
0x166DCDA: Théffroi
0x166DCE5: Poltégeiste
0x166DCF0: Charmilly
0x166DCFB: Charmilly
0x166DD06: Charmilly
0x166DD11: Charmilly
0x166DD1C: Charmilly
0x166DD27: Charmilly
0x166DD32: Bekaglaçon
0x166DD3D: Wimessir
0x166DD48: Morpeko
0x166DD53: Zacian
0x166DD5E: Zamazenta
0x166DD69: Éthernatos
0x166DD74: Shifours
0x166DD7F: Zarude
0x166DD8A: Sylveroy
0x166DD95: Sylveroy
0x166DDA0: Miaouss
0x166DDAB: Ponyta
0x166DDB6: Galopa
0x166DDC1: Ramoloss
0x166DDCC: Flagadoss
0x166DDD7: Farfetch'd
0x166DDE2: Smogo
0x166DDED: Smogogo
0x166DDF8: M. Mime
0x166DE03: Artikodin
0x166DE0E: Électhor
0x166DE19: Sulfura
0x166DE24: Roigada
0x166DE2F: Corayon
0x166DE3A: Zigzaton
0x166DE45: Linéon
0x166DE50: Mime Jr.
0x166DE5B: Darumarond
0x166DE66: Darumacho
0x166DE71: Darumacho
0x166DE7C: Tutafeh
0x166DE87: Limonde
0x166DE92: Caninos
0x166DE9D: Arcanin
0x166DEA8: Voltorbe
0x166DEB3: Électrode
0x166DEBE: Typhlosion
0x166DEC9: Qwilfish
0x166DED4: Farfuret
0x166DEDF: Clamiral
0x166DEEA: Fragilady
0x166DEF5: Bargantua
0x166DF00: Zorua
0x166DF0B: Zoroark
0x166DF16: Gueriaigle
0x166DF21: Colimucus
0x166DF2C: Muplodocus
0x166DF37: Séracrawl
0x166DF42: Archéduc
0x166DF4D: Cerf de Wyr
0x166DF58: Kleavor
0x166DF63: Ursalune
0x166DF6E: Basculegon
0x166DF79: Basculegon
0x166DF84: Raquettes
0x166DF8F: Overqwil
0x166DF9A: Amoureux
0x166DFA5: Amoureux
0x166DFB0: Florizarre
0x166DFBB: Dracaufeu
0x166DFC6: Tortank
0x166DFD1: Papilusion
0x166DFDC: Pikachu
0x166DFE7: Miaouss
0x166DFF2: Mackogneur
0x166DFFD: Ectoplasma
0x166E008: Krabboss
0x166E013: Lokhlass
0x166E01E: Évoli
0x166E029: Ronflex
0x166E034: Miasmax
0x166E03F: Melmetal
0x166E04A: Gorythmic
0x166E055: Pyrobut
0x166E060: Lézargus
0x166E06B: Chevalier Corv
0x166E076: Astronelle
0x166E081: Torgamord
0x166E08C: Monthracite
0x166E097: Pomdrapi
0x166E0A2: Dratatin
0x166E0AD: Dunaconda
0x166E0B8: Salarsen
0x166E0C3: Salarsen
0x166E0CE: CentsBorch
0x166E0D9: Sorcilence
0x166E0E4: Angoliath
0x166E0EF: Charmilly
0x166E0FA: Pachyradjah
0x166E105: Duralugon
0x166E110: Shifours
0x166E11B: Shifours
0x167EC5C: U iiRhiiA pa deÙ
0x16B92A7: ERR4v
0x16BBCDE: A : IAaaaa
0x16BBFC9: A : UEAA
0x17843DC: 29
0x17A0119: kdSze UNR
0x17B79BF: jiii
0x17C9A39: AwA Ôz
0x17CF42C: kyV je
0x1831C0B: ozjVじz
0x1858AF4: u Ól_{STRING}ky Yi YiÇi  i  ulji iiji jjjz,
0x185CF2B: i\nk\ni jizYjijsÇzxTTR xSRっx ÂRŒÀ
0x186769C: u Ól_{STRING}ky Yi YiÇi  i  ulji iiji jjjz,
0x18679E8: u Ól_{STRING}ky Yi YiÇi  i  ulji iiji jjjz,
0x1899D11: {UNKNOWN_STR}i VII {STRING}
0x189B3C5: ÔwAÔ lAD lDAズ,wlギ
0x189DE69: je suis
0x189E06D: je suis
0x18A0F80: lR UR Ux :D E Ô \n \p \p \p Ô
0x18A206B: R:wQR ▶RRzA_PP__ AA_PP__ zAán zAáÔ ,AÔ G_PH0___ xA_PPP__NPP_NIPP__NL_NL_NL_NLI_NLY:ATR:“wT E“x :GRR.
0x18A23FA: RB:RRRRURRRURBBURzeARzazu\pR“A▶
0x18A250C: Peut
0x18A270C: Là'
0x18A452C: __ __P___:UR___EGE _PH00__
0x18A45AE: A__P ____ PP ; TOURS : RO2PUP ; O__L__L__ ▶
0x18A4777: xEAwx : wU{NAME_END}UUU
0x18A47B2: A\n_ Ô Ô Ô Ô ÔL·o:R__________________________________ compte
0x18A49C6: A__PP_ADEAADEzww Ô Ô Ô U ▶ : RBA
0x18A4BCA: ADAAADDEz Ô Ô : U ▶ぜAD
0x18A4D8E: EAÔ ▶TUB
0x18A4D9E: RX :_p__r____rreauweoo
0x18A4E44: R__p__r__r____
0x18A4F92: Ew ▶T UB :Rx
0x18A5044: BER\p\pQR\p
0x18A5190: A/ヒü E\p·:げAA:\pAご·AA\pぜAÙA·“9A:AAA:/A\pAAヒ\nAAwE!AzE!ヒ\n9/A\l0AA9z“A9-‘!9-Ô \p ô ô __ll_ __nl_ ô ter ·aaln99 :
0x18A5394: E·_PP comprend le E_PP_·‒A_PP___´´· AA comprend 1 ] « Comme le jean ´A_A_A_A_ _â Giage !Ôe _LL_ _R _R Ôe é :/A_____) :
0x18A55AC: ! Pour un ; ô9 __ · · iu __ ì__.999__ ì = ì__.999 ▶ -9 ぁ ぁ m0 :
0x18A57B0: ! JOSTILE CORRECT : __ PP__ : AOA A__N __N IPL __N IPL __ ご ご ご ご ごô : Aro : q ipoto -9 ぁ M0 :
0x18A5DCF: TREPoT :
0x18A6009: AÔ PA{SE_SS_ANNE_HORN} :A :R PO E :A EA ▶R :
0x18A6065: POuTO\nUxRx
0x18A61E4: ·DA ▶AA :A! ▶Le Ô \l !
0x18A63E8: · DA ~~ Je l'ai ;!
0x18A8723: Parlant __/PH0__/oRÔ TB{NAME_END}PH0__ kao:.Qo:/RBECQ!E-yfE2v.E2v.:______i:____I
0x18A8807: E l EAA\pDAw\p¥DwÔAD
0x18A8A07: D {STRING}ABAAA___PP_PP_PP\p_¥DwÔw♀
0x18A9BCB: : :ADE AN __PPP__ __PPP__ __PPP__ {NAME_END} ▶ : l_NL__T{NAME_END}_ l_NL__ TE :z
0x18A9DCC: : : Je _\p {SE_SS_ANNE_HORN}_ UN \p_ ▶ : l_NL__{NAME_END}_ l_NL_/
0x18A9E1A: ▶zDAzbeYApageujiARuApazxAjzuAAhIzÔ U\n
0x18AA0E0: zペ{NAME_END}OOÔ zz {SE_SS_ANNE_HORN} Ô : : lz
0x18AD1F3: UR :jR :ii k{STRING}
0x18AD437: R ▶R :ir k{STRING}
0x18AD5BC: Ex :QQ :BB :Q\p EA :·
0x18AD7B8: Ex :QQ :BB :Q\p EA :· :AUTR
0x18AD7DD: RR·EUDAA\nAAAT
0x18AD9E0: UTT UTT :y{UNKNOWN_STR}
0x18ADA03: Royaume-UniRxR{STRING}RxRiUxS
0x18ADA27: RRh{STRING}zRjUTz
0x18ADBE4: UTT UTT :y{UNKNOWN_STR}
0x18ADC0B: U_{STRING}RxRiURiURiUxSíiUxSá__PH_0______ ___H_____ _ __‑iiyTkikRhi
0x18B0C06: ▶9 l2 z E-9o!vz!
0x18B0E06: ▶9 l2 z \p-vzEvまÙ!\l :
0x18B13C8: :vous ▶ii
0x18B15C4: :vous ▶ii
0x18B1814: AwÔ w_NL_NL_PP\pP__P__ zÔ AÔ AÔ AÔ
0x18B2C0D: :rrberr __ph0__ r__ph1__ième frère :r :b
0x18B2D02: :A \n UQ\pA\nQE\pD
0x18B2E86: Rad
0x18B2EA9: EA▶AAQ\pB
0x18B2EB2: R_PH0__ À \n OF ABLE dans le : l dans le RzTATRBEAzw :
0x18B2FCE: Ô UR{FILL_WINDOW} : Son :Q :B U
0x18B3104: zzQRRRxTzRDwAzAA▶A\nE :
0x18B312A: Ô : RwAABAAwzDAzDA_NL__PD_PP_PP_PP_PoP__Po , __NL_Sto A_PP__PC_Sup A_PP_S.
0x18B31D3: : EST UQ :R :R
0x18B3290: EBRRRBRQ Pi DxB Zupa w\n KRRRBR\pE Pa
0x18B32F3: U{NAME_END}:xR :Rz
0x18B3303: À ▶ : òmBzzQRRRxzRDAAs\n__
0x18B332A: PAS
0x18B344C: EzまR▶GRY
0x18B3473: Rô : E E : :: : tserwadq__nl__
0x18B366F: RRÙRx Ô Ô Ô E ::wwDQ\n
0x18B36D4: êBREGRwEQRB
0x18B3D7F: ÜQBQE...Î...Î \nRRÎUQB B...Î Î A ... Q ...R A A AÍ QRAÍR
0x18B42C0: AAQRARRRRRRARR\pAR\pEA :
0x18B42DD: UBÔRB\p BAÔ A\p A
0x18B44BA: :Sove__Ppp__reatr:trr:rrrer Ô
0x18B4528: : CQRB/LL_L_LL_LL_LLIAD!·DAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAS
0x18B46BE: :reast__Ppp__reatr:TRÔ
0x18B472C: : errcqrb/AAAA\lAagaa!·daa9ndaa est hors de_nzzbaa__pp__aaa ̄seness
0x18B7221: AASAAAAAAAASAAAAA+erAAA:wh+z:öw_NL__ AwÔ Aw_NL__ A liftÔwzoÔ+o'_NL__otÉozö
0x18B7499: AAwADAzAwzz▶DAwAAAwEAAAöEAA+ozöow\no+\nzo\n
0x18BC909: {UNKNOWN_STR} Ô :S :R UR :RR :Rh Zeo lz AïpiORzRRyth
0x18BC96C: RyjjSxij Oh Oh
0x18BC9CC: Xaaaaa
0x18BCB0D: {UNKNOWN_STR} :y :S :R UR :RR :Rh ▶zxuRxpiORzRRyth
0x18BE1D1: l ì D :/ :9:¿qA·èDA
0x18C5532: Ô
0x18C559C: DAÙRAAAARETA
0x18C55CA: ETR:ADT EAD ▶AA :wD
0x18C562B: Cellule : : U :R Ux :Rx:
0x18C5797: La résidence
0x18C57CE: Ô ETx:ADT EAD ▶AA :wD
0x18CA38B: Moins Moins Moins____ll____PE !__PP! Ô ; 9 : 9 : 9 : 9 :;;:
0x18CD510: :▶______/Ô poA : ‘AA:AV PphAÜE
0x18CDA6A: jR:RxT
0x18CFF28: BwEA\pD
0x18D012C: ¥AEABwEA\pD
0x18D1597: ▶ : zziyÙmiy▶jji
0x18D36CC: jzjiqii
0x18D75CA: RR : zTベUx
0x18D77CE: RR : zTベ
0x18D8D31: :Aw_{SUPER_ER} LA
0x18DBCE8: 9DÔ 9z\p zA\p DDÔ A\l
0x18DBEE8: -A\p 9z\p zvDÔDDAÔAv\p
0x18DE7B4: ouR\n AzAÔAAAÔAA
0x18DEA43: E: 9..l'obstruction et
0x18DEC47: E : v‘\p 9zÔ AAÔ AAÔ A
0x18E048E: +Oh RSiiihiiRhiSRhS
0x18E10E1: URíRRRHiTRNRR
0x18E16BA: iOyy
0x18E18BE: iOyy
0x18E1ABD: ___PP_:Ñ_TÔwEAw__L__L_ ! A__P_P_P_P_P_P_
0x18E1CC1: ___PP_:Ñ_L. ÔAw__L_______________ !
0x18E1D87: ▶ · : vズzv\npA-
0x18E3004: 5vÄ_PH0_PH0__zónWmzhWG :Ô U_PH1__ GÔ-RÔ :R ▶T : et ÔU ÔU : GR_NL_TTR
0x18E3173: Ô · Alors :a :W mai ki :ii
0x18E344E: Ô Ôソ k :y :i :{UNKNOWN_STR} Ô TTi{STRING}xii{STRING}iyiÔ
0x18E3831: : Fraude que « souviens-toi » 4Rramily-sheady _ _ 8 _ 8 : _ph _ _ph.
0x18E3C24: : N : UxR
0x18E3DF4: : :U zeR Uz :RpoRzuRUxRR:xRuUR
0x18E6F49: iiyoiiyòìiy
0x18E6FEF: yyiÔ :zn ぜ
0x18E7044: : z 、J{STRING}n_NL__
0x18E7EC3: E: 9..l'obstruction et
0x18E80C7: E : v‘\p 9zÔ AAÔ AAÔ A
0x18E82E3: E: 9..l'obstruction et
0x18E84E7: E : v‘\p 9zÔ AAÔ AAÔ A
0x18E8703: E: 9..l'obstruction et
0x18E8907: E : v‘\p 9zÔ AAÔ AAÔ A
0x18E8B23: E: 9..l'obstruction et
0x18E8D27: E : v‘\p 9zÔ AAÔ AAÔ A
0x18E9363: E: 9..l'obstruction et
0x18E9567: E : v‘\p 9zÔ AAÔ AAÔ A
0x18E9783: E: 9..l'obstruction et
0x18E9987: E : v‘\p 9zÔ AAÔ AAÔ A
0x18EB0C8: ▶zzzzzz
0x18ED318: : '+ZA dewn'pown':DwQ ET{NAME_END}:E\p :Ô ARé
0x18ED906: Pulvérisez! Sùùbibibib. __ll__s__ W
0x18EED73: : : U U E : A Ew
0x18EEDC4: UR\nzRQDwBQzDoR\p
0x18EEF2C: U% EWB__PL__ W\nL__ T\p Bó w__ w__n2
0x18EEFC0: REMARQUE UNIQUEMENT
0x18F2F2E: PiR URO
0x18F3024: ci{UNKNOWN_STR}ci
0x18F3126: PiR URO:ORPi:PeRR
0x18F381D: : U : LA×AAURAQ
0x18F3980: ▶z ▶R Uu
0x18F3A13: Ô U : URAK
0x18F6BEC: BeUgoo0EB-0Tw\l9v-Ô9\l
0x18F7230: nnnnon
0x18F8A7C: mzARzzQ
0x18F8C80: mzARzzQ
0x18FC9CA: A2app __ : inférieur ニ
0x18FE28F: Une Jérusalem ま
0x1900A45: Manger @S
0x1900AC7: U ぜ : AAQRAAGRARY\n______________________________________________________________________________________________________________________________________
0x1900CC7: U ぜ : zBQRAAGRARxRQ\n
0x1901223: Ô:{STRING}:_PH0__{STRING}Di
0x1901241: {UNKNOWN_STR} {UNKNOWN_STR} Ô Ô : : Ma Ma Ma Ma : Ma mAêÙDAQÙD\pTÙAEQ“AApi\p▶BERÔUDPA :ED-..y-9fiW99iz.fymz9iRmj\nTx
0x1901433: {UNKNOWN_STR} : : Ma Ma Ma : MaÙzmAêÙDAQÙD\pTÙAEQ“AApi\p▶BeRÔUDPaiii{STRING}jfij-fffW99yz.f\nmz9iRm▶
0x190162E: {UNKNOWN_STR}ik\l Ô :{UNKNOWN_STR}::{STRING}:kkykkjiik..yk9ff
0x190167C: :{UNKNOWN_STR} :i k k ▶ まii\l ..\l
0x1901722: :QAQ
0x1901843: :{UNKNOWN_STR}____________________________/iyakyikyii_/PH1.
