0x3EABA0: AFFREUX
0x3EB515: Commémorer
0x3EB521: Habitude
0x3EB527: Groupe
0x3EB52D: Courage
0x3EB532: Magasin
0x3EB538: Service
0x3EB540: Travail
0x3EB545: Système
0x3EB54C: Ancien
0x3EB552: Classe
0x3EB558: Leçons
0x3EB560: Information
0x3EB56C: Vie
0x3EB573: Professeur
0x3EB57B: Tournoi
0x3EB586: Lettre
0x3EB58D: Événement
0x3EB593: Numérique
0x3EB59B: Test
0x3EB5A0: Grand magasin
0x3EB5AC: Télévision
0x3EB5B7: Téléphone
0x3EB5BD: Article
0x3EB5C2: Nom
0x3EB5C7: Nouvelles
0x3EB5CC: Populaire
0x3EB5D4: Faire la fête
0x3EB5DA: Étude
0x3EB5E0: Machine
0x3EB5E8: Mail
0x3EB5ED: Message
0x3EB5F5: Promesse
0x3EB5FD: Rêve
0x3EB603: Jardin d'enfants
0x3EB610: Vie
0x3EB615: Radio
0x3EB61B: Ental
0x3EB621: MondeD
0x3EB849: ANIME
0x3EB84F: CHANSON
0x3EB854: FILM
0x3EB85A: BONBONS
0x3EB861: CHAT
0x3EB866: JEU D'ENFANT
0x3EB873: JOUETS
0x3EB878: MUSIQUE
0x3EB87E: CARTES
0x3EB884: ACHATS
0x3EB88D: CAMÉRA
0x3EB894: VISUALISATION
0x3EB89C: SPECTATEUR
0x3EB8A6: GOURMET
0x3EB8AE: JEU
0x3EB8B7: COLLECTION
0x3EB8C2: COMPLET
0x3EB8CB: REVUE
0x3EB8D4: MARCHER
0x3EB8D9: VÉLO
0x3EB8DE: PASSE-TEMPS
0x3EB8E4: SPORTIF
0x3EB8EB: LOGICIEL
0x3EB8F4: CHANSONS
0x3EB8FA: RÉGIME
0x3EB8FF: TRÉSOR
0x3EB908: VOYAGE
0x3EB90F: DANSE
0x3EB915: CANAL
0x3EB91D: FABRICATION
0x3EB924: PÊCHE
0x3EB92C: DATE
0x3EB931: CONCEPTION
0x3EB938: LOCOMOTIVE
0x3EB943: POUPÉE EN PELUCHE
0x3EB951: FLEURS
0x3EB959: HÉROS
0x3EB962: HÉROÏNE
0x3EB96A: MODE
0x3EB972: AVENTURE
0x3EB97C: CONSEIL
0x3EB982: BALLE
0x3EB987: LIVRE
0x3EB98C: FESTIVAL
0x3EB995: BANDES DESSINÉES
0x3EB99C: VACANCES
0x3EB9A4: PLANS
0x3EB9AA: TENDANCES
0x3EB9B1: VACANCES
0x3EB9BA: REGARDER
0x3EBC4D: MATIN
0x3EBC55: DEMAIN
0x3EBC5E: DERNIER
0x3EBC67: UN JOUR
0x3EBC70: TOUJOURS
0x3EBC77: ACTUEL
0x3EBC7F: POUR TOUJOURS
0x3EBC87: JOURS
0x3EBC90: MARDI
0x3EBC98: ICI
0x3EBCA2: AUJOURD'HUI
0x3EBCA8: VENDREDI
0x3EBCAF: LUNDI
0x3EBCB6: PLUS TARD
0x3EBCBC: PLUS TÔT
0x3EBCC4: Un autre
0x3EBCCC: TEMPS
0x3EBCD1: FINITION
0x3EBCD8: MERCREDI
0x3EBCE2: BIENTÔT
0x3EBCE7: COMMENCER
0x3EBCED: MOIS
0x3EBCF3: ARRÊT
0x3EBCFC: FINAL
0x3EBD02: SUIVANT
0x3EBD0B: SAMEDI
0x3EBD14: ÉTÉ
0x3EBD1B: DIMANCHE
0x3EBD22: DÉBUT
0x3EBD2C: PRINTEMPS
0x3EBD33: JOUR
0x3EBD3B: HIVER
0x3EBD42: TOUS LES JOURS
0x3EBD48: VIEUX
0x3EBD4E: PRESQUE
0x3EBD55: PRESQUE
0x3EBD5C: JEUDI
0x3EBD65: LA NUIT
0x3EBD6F: NUIT
0x3EBD75: SEMAINE
0x3EBF9E: BAS
0x3EBFA6: ARRIÈRE
0x3EBFAB: DES CHOSES
0x3EBFB2: CHOISI
0x3EBFB8: CI-DESSOUS
0x3EBFBE: AU-DESSUS DE
0x3EBFC4: DE LA
0x3EBFC9: HAUT
0x3EBFCE: ICI
0x3EBFD3: À L'INTÉRIEUR
0x3EBFDA: DEHORS
0x3EBFE2: À CÔTÉ DE
0x3EBFE9: C'EST ÇA !
0x3EBFF5: CE
0x3EBFFA: CHAQUE
0x3EC000: CES
0x3EC006: C'ÉTAIT
0x3EC011: VERS LE BAS
0x3EC016: QUOI
0x3EC01B: CE SONT
0x3EC025: C'ÉTAIT
0x3EC030: C'EST ÇA!
0x3EC03E: C'ÉTAIT
0x3EC047: DEVANT
0x3EC050: CHOIX
0x3EC05B: LONGE
0x3EC060: PRÈS
0x3EC065: OÙ
0x3EC06B: QUAND
0x3EC070: QUOI
0x3EC075: PROFOND
0x3EC07A: PEU PROFOND
0x3EC086: CONFUS
0x3EC08F: OPPOSÉ
0x3EC098: GAUCHE
0x3EC09D: DROITE
0x3EC2A6: RACHITIQUE
0x3EC2AE: SOLIDE
0x3EC2B9: AFFAMÉ
0x3EC2C0: SERRÉ
0x3EC2C6: CHATOUILLEUX
0x3EC2CF: TOURNOIR
0x3EC2D8: SPIRALE
0x3EC2E2: SOIF
0x3EC2EA: MDR
0x3EC2F2: SOYEUX
0x3EC2F8: MALHEUREUSEMENT
0x3EC2FE: DÉSESPÉRÉ
0x3EC307: INUTILE
0x3EC30F: BAVE
0x3EC318: PASSIONNANT
0x3EC321: ÉPAIS
0x3EC327: LISSE
0x3EC32E: VISQUEUX
0x3EC334: HACHER
0x3EC339: CASSER
0x3EC33F: VORACE
0x3EC349: DISPERSION
0x3EC351: GÉNIAL
0x3EC359: WIMPY
0x3EC35F: BANCAL
0x3EC366: PRÉCAIRE
0x3EC36C: DÉCHIRÉ
0x3EC373: Râpé
0x3EC37C: CROISSANT
0x3EC38B: DÉTRUIT
0x3EC395: ARDENT
0x3EC39B: LOVEY-DOVEY
0x3EC3A7: HEUREUSEMENT
0x3EC3AF: ANTICIPATION
0x3EC573: ÉVÉNEMENTS
0x3EC57A: RESTER À LA MAISON
0x3EC587: TRÈS
0x3EC58D: CONCOURS
0x3EC598: JUGE
0x3EC59E: SUPER
0x3EC5A4: SCÈNE
0x3EC5AA: TEMPLE DE LA RENOMMÉE
0x3EC5B7: ÉVOLUTION
0x3EC5C1: HYPER
0x3EC5C7: TOUR DE BATAILLE
0x3EC5D4: DIRIGEANTS
0x3EC5DC: SALLE DE COMBAT
0x3EC5E8: CACHÉ
0x3EC5EF: BASE SECRÈTE
0x3EC5FB: MÉLANGE
0x3EC607: MAÎTRE
0x3EC60E: RANG
0x3EC613: RUBAN
0x3EC61A: ÉCRASER
0x3EC620: DIRECT
0x3EC627: TOURNÉE
0x3EC62D: UNION
0x3EC633: CHAMBRE
0x3EC638: SANS FIL
0x3ECA63: OUI MONSIEUR!
0x3ECA6D: AVANT GARDE
0x3ECA79: COUPLE
0x3ECA80: BIEN OBLIGÉ
0x3ECA8D: OUAIS !
0x3ECA95: MÉGA
0x3ECA9A: 1-J'AI FRAPPÉ !
0x3ECAA4: DESTIN
0x3ECAAC: Annuler
0x3ECAB7: APLATIR
0x3ECABF: BLAGUE
0x3ECAC7: PERDANT
0x3ECACD: PERDANT
0x3ECAD4: ÉVÉNEMENT
0x3ECADE: HANCHE ET
0x3ECAE6: SECOUER
0x3ECAEC: OMBRAGÉ
0x3ECAF2: OPTIMISTE
0x3ECAF9: MODERNE
0x3ECB00: ODEUR YA
0x3ECB09: CLAQUER
0x3ECB0E: ASSOMMER
0x3ECB17: TRACAS
0x3ECB1E: GAGNANT
0x3ECB25: FIÈVRE
0x3ECB2B: WANNABE
0x3ECB33: BÉBÉ
0x3ECB38: CŒUR
0x3ECB42: JEUNE
0x3ECB48: POSÉ
0x3EED08: Ville de Bellin
0x3EED22: Ville de cratère
0x3EED67: bourgade de Tarmigan
0x3EED77: PLATEAU INDIGO
0x3EED93: Itinéraire 4
0x3EED9B: Itinéraire 10
0x3EEDA4: Itinéraire 1
0x3EEDAC: Itinéraire 2
0x3EEDB4: Itinéraire 3
0x3EEDBC: ITINÉRAIRE 4
0x3EEDC4: Itinéraire 5
0x3EEDCC: Itinéraire 6
0x3EEDD4: Itinéraire 7
0x3EEDDC: Itinéraire 8
0x3EEDE4: Itinéraire 9
0x3EEDEC: ITINÉRAIRE 10
0x3EEDF5: Itinéraire 11
0x3EEDFE: Itinéraire 12
0x3EEE07: Itinéraire 13
0x3EEE10: Itinéraire 14
0x3EEE19: Itinéraire 15
0x3EEE22: Itinéraire 16
0x3EEE2B: Itinéraire 17
0x3EEE34: Itinéraire 18
0x3EEE7C: Bois sinistres
0x3EEE9F: Passer sous terre
0x3EEEC1: Grotte de la vallée
0x3EEED0: Route de la Victoire
0x3EEF12: Ligue Pokémon
0x3EEF2D: Grotte de la Faille
0x3EEF3D: Bois de Vivill
0x3EEF4B: Grotte de glaçons
0x3EEF94: Cube Corp.
0x3EEFA0: SEPT ÎLES
0x3EEFAD: SIX ÎLES
0x3EEFEA: Grotte de l'être
0x3EF094: VALLÉE DES RUINES
0x3EF0AE: ENTRÉE DU CANYON
0x3EF0BE: CANYON DU SÉVAULT
0x3EF0CD: RUINES DE TANOBY
0x3EF0DA: LE SÉVII 22
0x3EF0E8: LE SÉVII 23
0x3EF0F6: SERVEZ-LES 24
0x3EF104: ROCHE DU NOMBRIL
0x3EF119: FORÊT DE BAIES
0x3EF133: Mine de combat
0x3EF144: Tour de bataille
0x3EF183: Bois d'Autel
0x3EF193: Grotte de la falaise
0x3EF1AE: Champ de bataille
0x3EF1D9: SS Marine
0x3EF1E8: Gazon Ferroépine
0x3EF207: Ruines du désert
0x3EF214: Tombeau gelé
0x3EF22E: Département de Dehara.
0x3F9050: AAAAAAAAAAAAAAAAAAAAAAAAAAAAAARRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiizzzzzzzz99999999999999
0x3F98FA: AA9ニAA
0x3FB21F: {B_TRAINER1_NAME} : {RIVAL}, reviens !
0x3FB235: {B_TRAINER1_NAME} : {EVIL_TEAM}, reviens !
0x3FB248: {B_TRAINER1_NAME} : {RIVAL} et\n{EVIL_TEAM}, revenez !
0x3FB265: {UNKNOWN_STR} gagné{PLAYER}\n{STRING}{LV} Exp. Points !\p
0x3FB283: un boosté
0x3FB2B6: {UNKNOWN_STR} essaie de\napprendre {PLAYER}.\p
0x3FB2D1: Mais {UNKNOWN_STR} ne peut pas apprendre\nplus de quatre mouvements.\p
0x3FB2FC: Supprimer un mouvement pour faire de la place à \n pour {PLAYER} ?
0x3FB32E: {PAUSE}îArrêter d'apprendre\n{PLAYER} ?
0x3FB343: {UNKNOWN_STR} n'a pas appris\n{PLAYER}.\p
0x3FB359: Utiliser le prochain Pokémon ?
0x3FB36B: L'attaque \n de {B_ATK_NAME_WITH_PREFIX} a raté !
0x3FB37F: {B_DEF_NAME_WITH_PREFIX}\n s'est protégé !
0x3FB394: {B_DEF_NAME_WITH_PREFIX} a évité les \ndommages avec {B_DEF_ABILITY} !
0x3FB3AF: {B_DEF_NAME_WITH_PREFIX} évite les mouvements de Ground\n avec {B_DEF_ABILITY} !
0x3FB3D3: {B_DEF_NAME_WITH_PREFIX} a évité\nl'attaque !
0x3FB41A: {B_PLAYER_NAME} a obtenu ¥{UNKNOWN_STR}\npour avoir gagné !\p
0x3FB433: {B_PLAYER_NAME} n'a plus de \nPokémon utilisable !\p
0x3FB484: {B_PLAYER_NAME} n'a plus de \nPokémon utilisable !\pJoueur perdu contre \n{B_TRAINER1_CLASS} {B_TRAINER1_NAME}!{PAUSE_UNTIL_PRESS}
0x3FB4BE: {B_PLAYER_NAME} a payé ¥{UNKNOWN_STR} comme prix\nargent…\p… … … …\p{B_PLAYER_NAME} blanchi !{PAUSE_UNTIL_PRESS}
0x3FB4F7: {B_PLAYER_NAME} blanchi !{PAUSE_UNTIL_PRESS}
0x3FB508: {B_SCR_ACTIVE_NAME_WITH_PREFIX} empêche \n de s'échapper avec {B_SCR_ACTIVE_ABILITY}!\p
0x3FB525: Je ne peux pas m'échapper ! \p
0x3FB534: {B_ATK_NAME_WITH_PREFIX} ne peut pas s'échapper !
0x3FB545: Frappez {UNKNOWN_STR} fois !
0x3FB555: {B_EFF_NAME_WITH_PREFIX}\ns'est endormi !
0x3FB57C: {B_DEF_NAME_WITH_PREFIX} est\ndéjà endormi !
0x3FB592: {B_ATK_NAME_WITH_PREFIX} est\ndéjà endormi !
0x3FB5A8: {B_DEF_NAME_WITH_PREFIX}\nn'a pas été affecté !
0x3FB5BC: {B_EFF_NAME_WITH_PREFIX}\na été empoisonné !
0x3FB5E2: {B_ATK_NAME_WITH_PREFIX} est blessé\npar le poison !
0x3FB5F8: {B_DEF_NAME_WITH_PREFIX} est déjà\nempoisonné.
0x3FB610: {B_EFF_NAME_WITH_PREFIX} est gravement\nempoisonné !
0x3FB626: {B_DEF_NAME_WITH_PREFIX} a vu son énergie \n drainée !
0x3FB641: {B_EFF_NAME_WITH_PREFIX} a été brûlé !
0x3FB663: {B_ATK_NAME_WITH_PREFIX} est blessé\npar sa brûlure !
0x3FB67B: {B_DEF_NAME_WITH_PREFIX}\na déjà une brûlure.
0x3FB692: {B_EFF_NAME_WITH_PREFIX} était\ngelé !
0x3FB6A7: Les {B_SCR_ACTIVE_ABILITY}\n de {B_SCR_ACTIVE_NAME_WITH_PREFIX} ont gelé {B_EFF_NAME_WITH_PREFIX} solide !
0x3FB6BF: {B_ATK_NAME_WITH_PREFIX} est\nsolide congelé !
0x3FB6D3: {B_DEF_NAME_WITH_PREFIX} décongelé !
0x3FB6E5: {B_ATK_NAME_WITH_PREFIX} décongelé !
0x3FB6F7: {B_ATK_NAME_WITH_PREFIX} a été\ndégivré par {B_CURRENT_MOVE} !
0x3FB70F: {B_EFF_NAME_WITH_PREFIX} est paralysé !\nIl est peut-être incapable de bouger !
0x3FB73A: {B_SCR_ACTIVE_NAME_WITH_PREFIX} {B_SCR_ACTIVE_ABILITY}\nparalysé {B_EFF_NAME_WITH_PREFIX}!\lIl est peut-être incapable de bouger !
0x3FB76A: {B_ATK_NAME_WITH_PREFIX} est paralysé !\nIl ne peut pas bouger !
0x3FB78A: {B_DEF_NAME_WITH_PREFIX} est\ndéjà paralysé !
0x3FB7A3: {B_DEF_NAME_WITH_PREFIX} était\nguéris de la paralysie !
0x3FB7BF: Le rêve de \nde {B_DEF_NAME_WITH_PREFIX} a été mangé !
0x3FB7D5: Les {UNKNOWN_STR}\n de {B_ATK_NAME_WITH_PREFIX} n'iront pas plus haut !
0x3FB7EE: Les {UNKNOWN_STR}\n de {B_DEF_NAME_WITH_PREFIX} ne baisseront pas !
0x3FB806: Le {UNKNOWN_STR}\n de votre équipe a cessé de fonctionner !
0x3FB826: Le {UNKNOWN_STR}\n de l'ennemi a cessé de fonctionner !
0x3FB844: {B_ATK_NAME_WITH_PREFIX} est\nconfus !
0x3FB854: {B_ATK_NAME_WITH_PREFIX} a crié\npar confusion !
0x3FB871: {B_EFF_NAME_WITH_PREFIX} est devenu\nconfus !
0x3FB885: {B_DEF_NAME_WITH_PREFIX} est\ndéjà confus !
0x3FB89D: {B_DEF_NAME_WITH_PREFIX}\nje suis tombé amoureux !
0x3FB8AE: {B_ATK_NAME_WITH_PREFIX} est amoureux\nde {B_SCR_ACTIVE_NAME_WITH_PREFIX} !
0x3FB8C5: {B_ATK_NAME_WITH_PREFIX} est\nimmobilisé par l'amour !
0x3FB8E0: {B_DEF_NAME_WITH_PREFIX} a été\népoustouflé !
0x3FB8F3: {B_ATK_NAME_WITH_PREFIX} transformé \nen type {UNKNOWN_STR} !
0x3FB914: {B_ATK_NAME_WITH_PREFIX} tressaillit !
0x3FB921: {B_DEF_NAME_WITH_PREFIX} a retrouvé \nsanté !
0x3FB935: Le \nHP de {B_DEF_NAME_WITH_PREFIX} est plein !
0x3FB946: {B_ATK_PREFIX2} a élevé Sp. {B_CURRENT_MOVE}\n. Déf!
0x3FB95E: {B_ATK_PREFIX2} a élevé Sp. {B_CURRENT_MOVE}\n. Certainement un peu !
0x3FB97F: La défense de {B_CURRENT_MOVE}\n de {B_ATK_PREFIX2} a augmenté !
0x3FB997: {B_ATK_PREFIX2} {B_CURRENT_MOVE}\na un peu augmenté la défense !
0x3FB9B8: L'équipe {STRING}gi est couverte\npar un voile !
0x3FB9D9: Le groupe de {B_DEF_NAME_WITH_PREFIX} est\nprotégé par Safeguard !
0x3FB9FF: L'équipe {STRING}ぎ n'est plus\nprotégée par Safeguard !
0x3FBA2F: {B_ATK_NAME_WITH_PREFIX} est allé\ndormir !
0x3FBA41: {B_ATK_NAME_WITH_PREFIX} a dormi et\nest devenu en bonne santé !
0x3FBA5E: {B_ATK_NAME_WITH_PREFIX} a fouetté\ndans un tourbillon !
0x3FBA79: {B_ATK_NAME_WITH_PREFIX} a pris\nau soleil !
0x3FBA8E: {B_ATK_NAME_WITH_PREFIX} a baissé \nsa tête !
0x3FBAB2: {B_ATK_NAME_WITH_PREFIX} a volé\nhaut !
0x3FBAC3: {B_ATK_NAME_WITH_PREFIX} a creusé un trou !
0x3FBAD2: {B_ATK_NAME_WITH_PREFIX} s'est caché\nsous l'eau !
0x3FBAE5: {B_ATK_NAME_WITH_PREFIX} a surgi !
0x3FBAF3: {B_DEF_NAME_WITH_PREFIX} a été écrasé \n par Bind !
0x3FBB11: {B_DEF_NAME_WITH_PREFIX} était piégé\ndans le vortex !
0x3FBB2F: {B_DEF_NAME_WITH_PREFIX} a été piégé\n par {B_CURRENT_MOVE} !
0x3FBB4C: {B_DEF_NAME_WITH_PREFIX} a été emballé par\n{B_ATK_NAME_WITH_PREFIX} !
0x3FBB62: {B_ATK_NAME_WITH_PREFIX} Serré\n{B_DEF_NAME_WITH_PREFIX} !
0x3FBB71: {B_ATK_NAME_WITH_PREFIX} est blessé\npar {UNKNOWN_STR} !
0x3FBB83: {B_ATK_NAME_WITH_PREFIX} a été libéré\nde {UNKNOWN_STR} !
0x3FBB99: {B_ATK_NAME_WITH_PREFIX} a continué \n et s'est écrasé !
0x3FBBB4: {B_ATK_PREFIX2} est devenu\n enveloppé de brume !
0x3FBBD0: {B_SCR_ACTIVE_NAME_WITH_PREFIX} est protégé\npar Mist !
0x3FBBE9: {B_ATK_NAME_WITH_PREFIX} se fait \npompé !
0x3FBBFF: {B_ATK_NAME_WITH_PREFIX} est touché\navec recul !
0x3FBC16: {B_ATK_NAME_WITH_PREFIX} s'est protégé\n !
0x3FBC2B: {B_ATK_NAME_WITH_PREFIX} est secoué\npar la tempête de sable !
