offset,start,end,length_bytes,text,note
0x17FF1C,0x17FF1C,0x17FF40,37,Aren’t you boiling in those\nclothes?,
0x17FF49,0x17FF49,0x17FFA3,91,9I just can’t stop shopping!\pThere’s so much variety at the\n{COLOR}ÉDehara Department Store{COLOR}Ç!,
0x180300,0x180300,0x18036A,107,Mmm…\pA park in the middle of a desert\ncity is so relaxing.\pDehara City is just a wonderful\noasis paradise!,
0x180AF3,0x180AF3,0x180AFF,13, jiy:kii Œky,
0x182E42,0x182E42,0x182E4E,13,j iyökiiオkざy,
0x183387,0x183387,0x1833B8,50,{PLAYER} put the POTION away in\nthe BAG’s Items Sector.,
0x183482,0x183482,0x18348D,12,Valley Cave,
0x183509,0x183509,0x183515,13,You beat me.,
0x18351C,0x18351C,0x183549,46,I pride myself on how much I know\nabout bugs.,
0x183560,0x183560,0x18359F,64,Hi!\nI like shorts!\pThey’re delightfully comfy and\neasy to wear!,
0x1835A0,0x1835A0,0x1835B3,20,I don’t believe it!,
0x1835B4,0x1835B4,0x183615,98,Are you using a Pokémon Centre’s\nPC for storing your Pokémon?\pEach Box can hold up to\n30 Pokémon.,
0x18364C,0x18364C,0x183665,26,Please don’t stare at me.,
0x183682,0x183682,0x1836B2,49,Are you a Trainer?\nLet’s get with it right away!,
0x1836B3,0x1836B3,0x1836D8,38,"If I had new Pokémon, I would’ve\nwon!",
0x1836D9,0x1836D9,0x18371A,66,"If a Pokémon Box on the PC gets\nfull, just switch to another Box.",
0x18371B,0x18371B,0x183745,43,That look you gave me…\nIt’s so intriguing!,
0x183746,0x183746,0x18374E,9,Be nice!,
0x18374F,0x18374F,0x183785,55,You can avoid battles by not\nletting Trainers see you.,
0x183786,0x183786,0x1837B0,43,Don’t think you can get past me so\neasily.,
0x1837BD,0x1837BD,0x1837CE,18,Lost!\nLost! Lost!,
0x1837CF,0x1837CF,0x1837F2,36,And I thought I could catch anyone.,
0x183807,0x183807,0x183836,48,I’ll battle you with the Pokémon\nI just caught.,
0x183837,0x183837,0x183848,18,Done like dinner!,
0x183849,0x183849,0x183875,45,Trained Pokémon are stronger than\nwild ones.,
0x18387A,0x18387A,0x183890,23,Eek!\nDid you touch me?,
0x183891,0x183891,0x18389B,11,That’s it?,
0x185402,0x185402,0x18541A,25,Yeah!\nI got a bite here!,
0x18541B,0x18541B,0x185431,23,Tch!\nJust a small fry…,
0x185432,0x185432,0x18544D,28,Hang on!\nMy line’s snagged!,
0x18544E,0x18544E,0x185474,39,Be patient.\nFishing is a waiting game.,
0x185475,0x185475,0x185487,19,That one got away!,
0x185488,0x185488,0x1854B8,49,"With a better rod, I could catch\nbetter Pokémon…",
0x1855E1,0x1855E1,0x185605,37,The Fishing Flop versus Pokémon\nSun!,
0x185606,0x185606,0x185615,16,Touch too much!,
0x185616,0x185616,0x185681,108,"I guess you get to be good at\nwhat you like.\pWell, you beat me at Pokémon,\nbut you can’t top me at fishing.",
0x185682,0x185682,0x1856CF,78,"I love fishing, don’t get me wrong.\pBut it’d be best if I also had more\nwork.",
0x1856D0,0x1856D0,0x1856DE,15,It’s not easy…,
0x1856DF,0x1856DF,0x18570D,47,It’s all right.\nLosing doesn’t bug me anymore.,
0x185A37,0x185A37,0x185A55,31,Wow!\nYour Badges are too cool!,
0x185A56,0x185A56,0x185A61,12,Not enough!,
0x185A62,0x185A62,0x185A90,47,You got those Badges from Gym\nLeaders. I know!,
0x18650B,0x18650B,0x186544,58,Hmm…\pThis must be the way to Dehara\nCity!\pI just know it!,
0x186549,0x186549,0x186559,17,I can’t be lost…,
0x18655A,0x18655A,0x1865B2,89,"A beautiful trainer like me, losing\nher way?\pImpossible!\pI know exactly where I’m going…",
0x18664F,0x18664F,0x186672,36,"When I whistle, I can hear an echo.",
0x18667A,0x18667A,0x18668C,19,Ow!\nThat’s tragic!,
0x1866D1,0x1866D1,0x1866F0,32,Do you know where you’re going?,
0x186707,0x186707,0x186715,15,You must know.,
0x18671A,0x18671A,0x186769,80,"You can’t see it from up top, but\nthere’s a passage that goes under\lthe bridge!",
0x18678B,0x18678B,0x1867A8,30,It’s getting hotter out here…,
0x1867C1,0x1867C1,0x1867D2,18,"No heat, no help.",
0x1867DA,0x1867DA,0x186805,44,"The warmer the weather, the\nstronger I get!",
0x18680C,0x18680C,0x186832,39,My psychic powers foretell my\nvictory!,
0x186841,0x186841,0x18684F,15,I…I was wrong?,
0x18686F,0x18686F,0x1868B5,71,"I must hone my psychic senses\nfurther.\pNext time, I will not be wrong.",
0x1868B6,0x1868B6,0x1868E3,46,"I wouldn’t want to fall into the\nocean, here.",
0x186936,0x186936,0x18695D,40,The ocean off the coast is really\ndeep!,
0x186968,0x186968,0x18697A,19,I’ll keep fishing.,
0x18697C,0x18697C,0x1869B4,57,I could’ve sworn someone was just\npushed into the ocean…,
0x186A22,0x186A22,0x186A30,15,Check ’em out!,
0x186A40,0x186A40,0x186A51,18,Aren’t they cool?,
0x186A55,0x186A55,0x186A73,31,I love showing off my Pokémon!,
0x18768C,0x18768C,0x1876B2,39,Kurukkoo!\nHow do you like my birdcall?,
0x1876B3,0x1876B3,0x1876C4,18,I had to bug you!,
0x1876C5,0x1876C5,0x187703,63,I collect sea Pokémon on weekends\nbecause the sea is so close.,
0x187884,0x187884,0x1878A4,33,I love swimming!\nWhat about you?,
0x1878A5,0x1878A5,0x1878B0,12,Belly flop!,
0x1878B1,0x1878B1,0x1878DC,44,I can beat even marine Pokémon\nat swimming.,
0x1878DD,0x1878DD,0x1878F7,27,What’s beyond the horizon?,
0x1878F8,0x1878F8,0x1878FD,6,Glub!,
0x1878FE,0x1878FE,0x187922,37,I see The Ruins of Void over\nyonder!,
0x187925,0x187925,0x18794F,43,"I tried diving for Pokémon, and it\nworked!",
0x187955,0x187955,0x18795A,6,Help!,
0x18795B,0x18795B,0x187983,41,You can only dive where the sea is\ndark.,
0x187985,0x187985,0x1879C2,62,I look at the sea to forget all\nthe bad things that happened.,
0x1879C3,0x1879C3,0x1879D2,16,Ooh!\nTraumatic!,
0x1879D3,0x1879D3,0x187A10,62,I’m looking at the sea to forget\nthe bad thing that happened!,
0x187A11,0x187A11,0x187A43,51,"Oh, I just love your ride!\nCan I have it if I win?",
0x187A44,0x187A44,0x187A4F,12,Oh! I lost!,
0x187A50,0x187A50,0x187A9D,78,It’s still a long way to\nThe Ruins of Void.\pI want to go back to Dresco Town.,
0x187A9E,0x187A9E,0x187AC0,35,Swimming’s great!\nSunburns aren’t!,
0x187AC1,0x187AC1,0x187AC9,9,Shocker!,
0x187ACA,0x187ACA,0x187AF8,47,My friend wanted to swim to\nThe Ruins of Void.,
0x187AFA,0x187AFA,0x187B24,43,"Ahoy, there!\nThese waters are treacherous!",
0x187B25,0x187B25,0x187B34,16,Ooh!\nDangerous!,
0x187B35,0x187B35,0x187B5C,40,"M-my legs! They cramped up!\nGlub, glub…",
0x187B5D,0x187B5D,0x187B84,40,I swam here with my friends…\nI’m tired…,
0x187B85,0x187B85,0x187B93,15,I’m exhausted…,
0x187B94,0x187B94,0x187C05,114,"If I were to ride a Pokémon on\nthe sea, I’d like a Lapras.\pLapras is so big, I bet it\nwould keep me dry on water.",
0x187E40,0x187E40,0x187E7A,59,The water is shallow here.\nThere are many people swimming.,
0x187E7B,0x187E7B,0x187E82,8,Splash!,
0x187E83,0x187E83,0x187EBA,56,I wish I could ride my Pokémon.\nI bet you’re not tired.,
0x187FDB,0x187FDB,0x187FF6,28,Check out my buff physique!,
0x187FF7,0x187FF7,0x187FFD,7,Wimpy!,
0x187FFE,0x187FFE,0x18802D,48,"I should’ve been buffing up my\nPokémon, not me!",
0x18802E,0x18802E,0x18805B,46,Why are you riding a Pokémon?\nCan’t you swim?,
0x18805C,0x18805C,0x18806C,17,Ouch!\nTorpedoed!,
0x18806D,0x18806D,0x18808D,33,Riding a Pokémon sure looks fun!,
0x1880F8,0x1880F8,0x188118,33,My boyfriend gave me big pearls.,
0x188119,0x188119,0x188138,32,"Oh, no!\nMy pearls were in them!",
0x188139,0x188139,0x188164,44,Will my pearls grow bigger inside\nCloyster?,
0x18851F,0x18851F,0x188542,36,"Right now, I’m in a triathlon meet.",
0x188543,0x188543,0x188554,18,Pant…\nPant… Pant…,
0x188555,0x188555,0x188591,61,"I’m beat! But, I still have the\nbike race and marathon left!",
0x188ED9,0x188ED9,0x188EF0,24,I’m going to stomp you!,
0x188EFA,0x188EFA,0x188F09,16,Whoa!\nToo much!,
0x188F0A,0x188F0A,0x188F2B,34,I did my best. I have no regrets!,
0x188F53,0x188F53,0x188F75,35,"I did my best, so I’ve no regrets!",
0x18901B,0x18901B,0x189037,29,I love the smell of the sea!,
0x18908C,0x18908C,0x18909D,18,Whoo!\nGood stuff!,
0x18909E,0x18909E,0x1890B4,23,This air is beautiful!,
0x1890C0,0x1890C0,0x1890E5,38,Local Trainers come here to\npractice.,
0x1890E6,0x1890E6,0x1890F4,15,You’re decent.,
0x1890F5,0x1890F5,0x189164,112,All Pokémon have weaknesses.\nEven the strongest ones.\pThat’s why it’s best to raise\nPokémon of different types.,
0x189165,0x189165,0x189193,47,I love standing here and looking at\nthe ocean.,
0x1891A6,0x1891A6,0x1891B2,13,I’m not mad!,
0x1891B3,0x1891B3,0x1891C8,22,Isn’t the view great?,
0x189247,0x189247,0x18925D,23,Hi!\nYou’re going down!,
0x189261,0x189261,0x189280,32,My conditioning isn’t the best…,
0x189281,0x189281,0x18929D,29,I wish I was as good\nas you.,
0x1892A9,0x1892A9,0x1892D8,48,I had this feeling…\nI knew I had to battle you!,
0x1892D9,0x1892D9,0x1892EE,22,"I knew I’d lose, too!",
0x1892EF,0x1892EF,0x189332,68,"If your Pokémon gets confused,\nswitch it out.\pThat’s a good tactic.",
0x189364,0x189364,0x189377,20,I’m not so jealous!,
0x1893EA,0x1893EA,0x1893FA,17,You worked hard!,
0x189423,0x189423,0x189457,53,"If it’s a battle you want, it’s a\nbattle you’ll get!",
0x189459,0x189459,0x18947D,37,"You done got me, and real good,\ntoo!",
0x18947E,0x18947E,0x1894B7,58,I really should stop attacking\ntrainers and blaming them…,
0x18961F,0x18961F,0x18964C,46,The weather’s gorgeous!\nPerfect for a battle!,
0x18964D,0x18964D,0x189656,10,Aiyeeeeh!,
0x189657,0x189657,0x18968B,53,Please don’t splash my face!\nYou’ll ruin the makeup.,
0x189E42,0x189E42,0x189E71,48,The salty tang of the sea…\nIt tickles my heart.,
0x189E72,0x189E72,0x189E9D,44,"…Sniff, sniff…\nSomething smells unpleasant…",
0x189E9E,0x189E9E,0x189ED3,54,Perhaps that reek is your sweaty\nPokémon’s body odor…,
0x189F63,0x189F63,0x189F99,55,My mommy said that I can’t swim\nwithout my float ring.,
0x189F9A,0x189F9A,0x189FA7,14,Waaah!\nWaaah!,
0x189FA8,0x189FA8,0x189FDA,51,"This year, I’m going to finally\nlearn how to swim!",
0x189FDB,0x189FDB,0x189FED,19,"Yay, yay!\nPokémon!",
0x189FEE,0x189FEE,0x189FFF,18,What happens now?,
0x18A000,0x18A000,0x18A01E,31,Did I just win?\nOr did I lose?,
0x18BA86,0x18BA86,0x18BABF,58,"My boyfriend’s always busy, so I\ncome swimming by myself.",
0x18BAC0,0x18BAC0,0x18BADF,32,"Awww, I knew this would happen!",
0x18BAE0,0x18BAE0,0x18BB2C,77,"When I can’t be with my boyfriend,\nI spend time with the Pokémon he\lgave me.",
0x18C1ED,0x18C1ED,0x18C204,24,I sensed your approach.,
0x18C205,0x18C205,0x18C20D,9,Give up…,
0x18C20E,0x18C20E,0x18C282,117,"In your future, I sense that you\nwill meet many others.\pI think you will be linked to each\nother by a strange power.",
0x18CA2F,0x18CA2F,0x18CA6E,64,"I work to protect the environment.\nIn turn, nature protects me!",
0x18CA6F,0x18CA6F,0x18CA9B,45,Whoa! You’re tough!\nHow about protecting me?,
0x18CA9C,0x18CA9C,0x18CB15,122,"From far out among the stars, our\nplanet is just a drop of water.\pBut we want to protect that drop\nof water for everyone.",
0x18CB16,0x18CB16,0x18CB3D,40,Those shoes you have are pretty\nsnazzy.,
0x18CB3E,0x18CB3E,0x18CB6B,46,You’re hot stuff in spite of your\ncute looks.,
0x18CB6C,0x18CB6C,0x18CBB3,72,Your mom bought those snazzy\nRunning Shoes for you?\pShe must adore you.,
0x18D3D1,0x18D3D1,0x18D3F2,34,{PLAYER}!\nYou should take a quick rest.,
0x18D3F8,0x18D3F8,0x18D438,65,"Oh, good! You and your\nPokémon are looking great.\pTake care now!",
0x18D43D,0x18D43D,0x18D491,85,"9There’s a movie on TV.\nFour boys are walking on railroad\ltracks.\p…I better go, too.",
0x18D492,0x18D492,0x18D4F8,103,"There’s a movie on TV.\nA girl with her hair in pigtails is\lwalking up a brick road.\p…I better go, too.",
0x18D4F9,0x18D4F9,0x18D50A,18,"Oops, wrong side…",
0x18D50B,0x18D50B,0x18D53A,48,{PLAYER} played with the Wii.\p…Okay!\nIt’s time to go!,
0x18D53B,0x18D53B,0x18D582,72,"It’s a posted notice…\pIf you’re confused, ask for help!\nTalk to people!",
0x18EA44,0x18EA44,0x18EA60,29,9That’s Prof. Log’s Pokémon.,
0x18EA65,0x18EA65,0x18EA83,31,9Press Start to open the Menu!,
0x18EA84,0x18EA84,0x18EAB5,50,The Save option is on the menu.\nUse it regularly.,
0x18EAB6,0x18EAB6,0x18EAF3,62,All Pokémon types have strong and\nweak points against others.,
0x18EAF4,0x18EAF4,0x18EB14,33,It’s a new computer.\pOoh…\nFancy.,
0x18EBE5,0x18EBE5,0x18EC0A,38,9I study Pokémon as Prof. Log’s\nAide.,
0x18ED80,0x18ED80,0x18EDEC,109,9Prof. Log has spent many years\nstudying Pokémon stats.\pMany Trainers come to him with\ninquiries about them.,
0x1902BF,0x1902BF,0x1902E9,43,Thanks!\nPlease say hi to Prof. Log for me!,
0x19032C,0x19032C,0x190364,57,That guy in all black from before\nwas scary.\pWho was he?,
0x190365,0x190365,0x1903D9,117,You should stock up on a lot of\n{COLOR}ÉPotions{COLOR}Ë.\pYou never know when you’ll be in a\npinch and need some quick healing.,
0x190450,0x190450,0x1904ED,158,"Pokémon Centres heal your tired\nand weary Pokémon.\pThey make all Pokémon completely\nhealthy again.\pMost are free, so don’t be shy\nabout healing your Pokémon.",
0x1904EE,0x1904EE,0x19056B,126,"moves a power boost if they match\lthe Type of the move.\pThis is known as the Same Type\nAttack Bonus, or {COLOR}ÉSTAB{COLOR}Ë for short.",
0x19056C,0x19056C,0x190686,283,"All Pokémon have special {COLOR}ÉTypes{COLOR}Ë,\nsuch as Fire or Water.\pThese determine how well they stack\nup against other Pokémon.\pPokémon Types also give attacking\nmoves a power boost if they match\lthe Type of the move.\pThis is known as the Same Type\nAttack Bonus, or {COLOR}ÉSTAB{COLOR}Ë for short.",
0x190687,0x190687,0x19073E,184,"I just don’t know what to do.\pEvery few days this horrible\nPokémon has been coming into my\lhouse and stealing my food.\pIf I had a Pokédex, I could know\nwhat it was and how to stop it…",
0x19073F,0x19073F,0x190827,233,"There are some items that exist\nsoley to be sold.\pIf you get one of those items, you\nshould sell it immediately.\pI’ve even heard that there are\nsome maniacs out there who’ll buy\lthose items for an even higher\lamount than Poké Marts.",
0x191840,0x191840,0x191886,71,My grandfather survived the\nmeteorite lots of years ago!\pHe’s so cool!,
0x192079,0x192079,0x19212F,183,"The Gym Leader, Mirskle, uses\nPokémon that can be found in\l{COLOR}ÉFlower Paradise{COLOR}Ë.\pCatching some good Ice-type\nPokémon from {COLOR}ÉIcicle Cave {COLOR}Ëcan\lreally give you the edge against\lhim.",
0x1929C2,0x1929C2,0x192A78,183,"Repel not only keeps bugs away,\nit also works on weak Pokémon.\pPut your strongest Pokémon at the\nleft of the Pokémon List.\pIf your first Pokémon is strong,\nRepel’s effect is boosted.",
0x192A79,0x192A79,0x192AF1,121,You should try to beat as many\nPokémon Gyms as possible.\pPoké Marts will sell more items to\nyou if you have more badges.,
0x193465,0x193465,0x1934C4,96,This town is fairly quiet.\pNot that many enjoy hanging around\na town in the middle of a forest.,
0x193A4B,0x193A4B,0x193AA5,91,"Yo, yo!\nI am the official {COLOR}ÉName Rater{COLOR}Ë!\pWant me to rate the nicknames of\nyour Pokémon?",
0x193AA6,0x193AA6,0x193ACC,39,Which Pokémon’s nickname should\nI see?,
0x193AD2,0x193AD2,0x193B33,98,"{STR_VAR_1}, is it?\nThat is a gucci nickname!\pBut, would you like me to give it\na swag name?\pHow about it?",
0x193B36,0x193B36,0x193B62,45,"Cool. Then, what should the new\nnickname be?",
0x193B66,0x193B66,0x193BCC,103,"Done! From now on, this Pokémon\nwill be called {STR_VAR_1}!\pIt’s a way better name than before!\nYou’re so swag!",
0x193BD4,0x193BD4,0x193BEC,25,Uh huh.\nCome back again.,
0x193BF0,0x193BF0,0x193C72,131,"Done! From now on, this Pokémon\nwill be called {STR_VAR_1}!\pIt looks the same as before, but\nstill feels ten times cooler!\pYou’re so lucky!",
0x193C82,0x193C82,0x193CBE,61,"{STR_VAR_1}, is it?\nThat’s a swagalicious name!\pTake good care of {STR_VAR_1}!",
0x193CC4,0x193CC4,0x193CDA,23,Really?\nThat’s an Egg!,
0x193EC1,0x193EC1,0x193F29,105,"I’m the Fishing Dude!\pI simply looove fishing!\nI can’t bear to go without.\pTell me, do you like to fish?",
0x193F2A,0x193F2A,0x193F80,87,"Grand! I like your style.\nI think we can be friends.\pTake this and fish, young friend!",
0x193F81,0x193F81,0x193FAE,46,{PLAYER} received an Old Rod from\nthe Fishing Dude.,
0x193FAF,0x193FAF,0x194027,121,"Fishing is a way of life!\nIt is like the finest poetry.\pFrom the seas to rivers, go out\nand land the big one, my friend.",
0x194028,0x194028,0x194044,29,Oh…\nThat’s so disappointing…,
0x194045,0x194045,0x19406E,42,"Hello there, {PLAYER}!\pHow are the fish biting?",
0x19406F,0x19406F,0x1940AE,64,"Oh, no!\pI had a nice gift for you, but you\nhave no room for it!",
0x194234,0x194234,0x19430E,219,"The urge to battle with someone\nyou’ve tangled with before…\pHave you ever had that urge?\nI’m sure you have.\pI wanted to battle certain people\nagain over and over, too.\pSo, I’ve been giving these away.\nPlease, take one!",
0x19430F,0x19430F,0x194380,114,"Use that device and you’ll find\nTrainers looking for a rematch.\pYou have to charge its battery to\nuse it, though.",
0x194381,0x194381,0x19446E,238,"How do you use the VS Seeker?\nThere’s nothing to it.\pUse it like beep-beep-beep, and\nTrainers around you will notice.\pIf any Trainer wants a rematch,\nit will let you know immediately.\pCharge its battery and use it\nwhile you’re on a road.",
0x1949CB,0x1949CB,0x1949FC,50,Hi!\nDo you have a {STR_VAR_1}?\pWant to trade it for my\n{STR_VAR_2}?,
0x1949FD,0x1949FD,0x194A0C,16,That’s too bad.,
0x194A0D,0x194A0D,0x194A43,55,"…This is no {STR_VAR_1}.\pIf you get one, please trade it\nto me!",
0x194A44,0x194A44,0x194A4E,11,Thank you!,
0x194A4F,0x194A4F,0x194A76,40,How is my old {STR_VAR_2}?\pMy {STR_VAR_1} is doing great!,
0x195471,0x195471,0x1954CF,95,Many people in Blizzard City\nenjoy the finer delicacies in life.\pRoasted Pokémon for instance.,
0x1954DD,0x1954DD,0x195534,88,Hello!\nWelcome to Dehara Dept. Store!\pThe board on the wall describes\nthe store layout.,
0x195638,0x195638,0x19566A,51,2F: Trainer’s Market\pTop-Grade Items for Trainers!,
0x195BBA,0x195BBA,0x195C9F,230,Pokémon stat enhancers can\nonly be bought here.\pHP Up increases the base HP of a\nPokémon.\pCalcium raises the base Sp. Atk\nstat of one Pokémon.\pZinc boosts the base Sp. Def stat\nof one Pokémon.\pCarbos enhances the base Speed\nstat.,
0x195CA0,0x195CA0,0x195D12,115,I’m here for Pokémon stat\nenhancers.\pProtein increases the base Attack\nstat.\pIron increases the base Defense\nstat.,
0x1962BF,0x1962BF,0x1962D3,21,Good night everyone.,
0x1962D7,0x1962D7,0x1962F9,35,I’m the sprite artist!\nI drew you!,
0x1962FB,0x1962FB,0x19633E,68,I’m the graphic designer!\pI made the cool support artwork and\nlogo!,
0x196356,0x196356,0x1963BE,105,"I’m the game’s creator!\pFilling up your Pokédex is tough,\nbut don’t quit!\pWhen you finish, come tell me!",
0x1963CD,0x1963CD,0x19640B,63,Wow! Excellent!\nYou completed your Pokédex!\lCongratulations!\l…,
0x1964A8,0x1964A8,0x1964C0,25,Unbound Development Room,
0x196591,0x196591,0x1965A6,22,{PLAYER} obtained an EEVEE!,
0x196984,0x196984,0x1969DB,88,Welcome to Dehara Game Corner!\pDo you need some game coins?\nWould you like to buy some?,
0x1969DC,0x1969DC,0x1969FA,31,No?\nPlease come play sometime!,
0x1969FB,0x1969FB,0x196A25,43,"Oh, I’m sorry.\nYou don’t have a Coin Case.",
0x196A26,0x196A26,0x196A45,32,Whoops!\nYour Coin Case is full.,
0x196A46,0x196A46,0x196A61,28,You can’t afford the coins.,
0x196A62,0x196A62,0x196A81,32,Thank you.\nHere are your coins!,
0x196A82,0x196A82,0x196ABB,58,Keep this quiet.\pIt’s rumoured these machines are\nrigged.,
0x196AC7,0x196AC7,0x196AF2,44,I think these machines have\ndifferent odds.,
0x196AF3,0x196AF3,0x196B0C,26,"Kid, do you want to play?",
0x196B0D,0x196B0D,0x196B2F,35,{PLAYER} received 10 Coins\nfrom the man.,
0x196B30,0x196B30,0x196B48,25,You don’t need my Coins!,
0x196B49,0x196B49,0x196B7A,50,Wins seem to come and go.\nNothing’s a sure thing.,
0x196B7B,0x196B7B,0x196BAC,50,"These slot games…\nWin or lose, it’s only by luck.",
0x196CFE,0x196CFE,0x196D2A,45,Games are scary!\nIt’s so easy to get hooked!,
0x196D2B,0x196D2B,0x196D46,28,What’s up?\nWant some Coins?,
0x196D47,0x196D47,0x196D6E,40,{PLAYER} received 20 Coins\nfrom the nice guy.,
0x196D6F,0x196D6F,0x196D86,24,You have lots of Coins!,
0x196D87,0x196D87,0x196DB6,48,Darn! I need more Coins for the\nPokémon I want!,
0x196DB7,0x196DB7,0x196DF7,65,"Hey, what? You’re throwing me off!\nHere are some Coins, so shoo!",
0x196DF8,0x196DF8,0x196E1A,35,{PLAYER} received 20 Coins\nfrom the man.,
0x196E1B,0x196E1B,0x196E3F,37,You’ve got plenty of your own\nCoins!,
0x196E40,0x196E40,0x196E68,41,The trick is to watch the reels\nclosely.,
0x196F0D,0x196F0D,0x196F25,25,A Coin Case is required…,
0x196F26,0x196F26,0x196F45,32,Oops!\nDon’t have the Coin Case!,
0x196F46,0x196F46,0x196F63,30,A slot machine!\nWant to play?,
0x196F64,0x196F64,0x196F80,29,OUT OF ORDER\nThis is broken.,
0x196F81,0x196F81,0x196F9F,31,OUT TO LUNCH\nThis is reserved.,
0x196FA0,0x196FA0,0x196FC0,33,Someone’s keys!\nThey’ll be back.,
0x19703E,0x19703E,0x197056,25,A Coin Case is required…,
0x197057,0x197057,0x197079,35,We exchange your Coins for prizes.,
0x19707A,0x19707A,0x197095,28,Which prize would you like?,
0x19709D,0x19709D,0x1970B1,21,"So, you want the {STR_VAR_1}?",
0x1970B2,0x1970B2,0x1970D4,35,"Okay, a TM of {STR_VAR_2}\nis what you want?",
0x1970D5,0x1970D5,0x1970FD,41,"Sorry, you’ll need more Coins\nthan that.",
0x19745D,0x19745D,0x19747B,31,You should make room for this.,
0x197873,0x197873,0x1978AB,57,9Dehara Pokémon Gym\nLeader: Galavan\pWinning Trainers:\n{RIVAL},
0x1978AC,0x1978AC,0x1978E7,60,"Dehara Pokémon Gym\nLeader: Galavan\pWinning Trainers:\n{RIVAL}, {PLAYER}",
0x1979C1,0x1979C1,0x197A20,96,Aww man…\pI blew all of my money at the Game\nCorner!\pLooks like I won’t be needing this\nanymore!,
0x197A38,0x197A38,0x197A5D,38,{PLAYER} received a Coin Case\nfrom the guy.,
0x197A5E,0x197A5E,0x197A71,20,Make room for this!,
0x197A72,0x197A72,0x197A8F,30,I always thought I could win…,
0x1980BC,0x1980BC,0x1980FD,66,I could’ve sworn I saw the clerk\nstealing from the cash register…,
0x198BBA,0x198BBA,0x198C1B,98,"9One day I’m going to be a ninja!\pMy parents strike with brute force,\nbut I’m going to be sneaky!",
0x198C1F,0x198C1F,0x198C4E,48,Huah! Move boulders with pure\npower!\pTake this!,
0x19918E,0x19918E,0x199206,121,"I’m the Fishing Guru’s older\nbrother.\pI simply looove fishing!\nI can’t bear to go without.\pTell me, do you like to fish?",
0x199207,0x199207,0x19925D,87,"Grand! I like your style.\nI think we can be friends.\pTake this and fish, young friend!",
0x19925E,0x19925E,0x199295,56,{PLAYER} received a Good Rod from\nthe Fishing Guru’s brother.,
0x199296,0x199296,0x199336,161,"Fishing is a way of life!\nIt is like the finest poetry.\pA crummy Old Rod could only catch\nMagikarp, yes?\pBut with a Good Rod, you can\ncatch much better Pokémon.",
0x199337,0x199337,0x199353,29,Oh…\nThat’s so disappointing…,
