0x166D319: Bourrinos
0x166D836: Pikachu
0x166D841: Pikachu
0x166D84C: Pikachu
0x166D857: Pikachu
0x166D862: Pikachu
0x166D86D: Pikachu
0x166D878: Pikachu
0x166D883: Pikachu
0x166D88E: Pikachu
0x166D899: Pikachu
0x166D8A4: Pikachu
0x166D8AF: Pikachu
0x166D8BA: Pikachu
0x166D8C5: Pikachu
0x166D8D0: Pichu
0x166D8DB: Xerneas
0x166D8E6: Ouistempo
0x166D8F1: Badabouin
0x166D8FC: Gorythmic
0x166D907: Flambino
0x166D912: Lapyro
0x166D91D: Pyrobut
0x166D928: Larméléon
0x166D933: Arrozard
0x166D93E: Lézargus
0x166D949: Rongourmand
0x166D954: Rongrigou
0x166D95F: Minisange
0x166D96A: Bleuseille
0x166D975: Corvaillus
0x166D980: Larvadar
0x166D98B: Coléodôme
0x166D996: Astronelle
0x166D9A1: Goupilou
0x166D9AC: Roublenard
0x166D9B7: Tournicoton
0x166D9C2: Blancoton
0x166D9CD: Moumouton
0x166D9D8: Moumouflon
0x166D9E3: Khélocrok
0x166D9EE: Torgamord
0x166D9F9: Voltoutou
0x166DA04: Fulgudog
0x166DA0F: Charbi
0x166DA1A: Wagomine
0x166DA25: Monthracite
0x166DA30: Verpom
0x166DA3B: Pomdrapi
0x166DA46: Dratatin
0x166DA51: Dunaja
0x166DA5C: Dunaconda
0x166DA67: Nigosier
0x166DA72: Embrochet
0x166DA7D: Hastacuda
0x166DA88: Toxizap
0x166DA93: Salarsen
0x166DA9E: Grillepattes
0x166DAA9: Scolocendre
0x166DAB4: Poulpaf
0x166DABF: Krakos
0x166DACA: Théffroi
0x166DAD5: Polthégeist
0x166DAE0: Bibichut
0x166DAEB: Chapotus
0x166DAF6: Sorcilence
0x166DB01: Grimalin
0x166DB0C: Fourbelin
0x166DB17: Angoliath
0x166DB22: Ixon
0x166DB2D: Berserkatt
0x166DB38: Corayôme
0x166DB43: Palarticho
0x166DB4E: M. Glaquette
0x166DB59: Tutétékri
0x166DB64: Crèmy
0x166DB6F: Charmilly
0x166DB7A: Hexadron
0x166DB85: Wattapik
0x166DB90: Frissonille
0x166DB9B: Beldeneige
0x166DBA6: Dolman
0x166DBB1: Bekaglaçon
0x166DBBC: Wimessir
0x166DBC7: Morpeko
0x166DBD2: Charibari
0x166DBDD: Pachyradjah
0x166DBE8: Galvagon
0x166DBF3: Galvagla
0x166DBFE: Hydragon
0x166DC09: Hydragla
0x166DC14: Duralugon
0x166DC1F: Fantyrm
0x166DC2A: Dispareptil
0x166DC35: Lanssorien
0x166DC40: Zacian
0x166DC4B: Zamazenta
0x166DC56: Éthernatos
0x166DC61: Wushours
0x166DC6C: Shifours
0x166DC77: Zarude
0x166DC82: Regieleki
0x166DC8D: Regidrago
0x166DC98: Blizzeval
0x166DCA3: Spectreval
0x166DCAE: Sylveroy
0x166DCB9: Nigosier
0x166DCC4: Nigosier
0x166DCCF: Salarsen
0x166DCDA: Théffroi
0x166DCE5: Polthégeist
0x166DCF0: Charmilly
0x166DCFB: Charmilly
0x166DD06: Charmilly
0x166DD11: Charmilly
0x166DD1C: Charmilly
0x166DD27: Charmilly
0x166DD32: Bekaglaçon
0x166DD3D: Wimessir
0x166DD48: Morpeko
0x166DD53: Zacian
0x166DD5E: Zamazenta
0x166DD69: Éthernatos
0x166DD74: Shifours
0x166DD7F: Zarude
0x166DD8A: Sylveroy
0x166DD95: Sylveroy
0x166DDA0: Miaouss
0x166DDAB: Ponyta
0x166DDB6: Galopa
0x166DDC1: Slowpoke
0x166DDCC: Slowbro
0x166DDD7: Canarticho
