0xA44CE7: Michael
0xA45213: Paula
0xA45219: Skeli
0xA4521F: Golche
0xA45226: Thanasis
0xA4522F: Lixdel
0xA45236: Cynthia
0xA4524B: Big Mo
0xA45252: Galavan
0xA4525A: Candice
0xA45262: Giovanni
0xA4526B: Milo
0xA45270: Marlon
0xA4527B: Tessy
0xA45281: Cathy
0xA45287: Ginger
0xA4528E: Abimbola
0xA45297: Mahina
0xA4529E: Alford
0xA452A5:  FばSurpris de voir quelqu'un de mon âge ?\nJe te promets, je ne suis pas faible.
0xA452E6: Quitter l'école, pas si malin…\n
0xA45316: Hé, je t'avais dit que je n'étais\npas facile à battre !
0xA4533B: J'ai quitté l'école pour être ici…\pJe ne te laisserai pas m'empêcher\nde devenir grand !
0xA45385: Beau combat !\nVivement la revanche.
0xA453BC: Tu te bats moins bien que ma mamie !\nEt pourtant mamie envoie du lourd…
0xA453FE: Je suis juste un gamin, vas-y\nmollo avec moi !
0xA4542E: Waaah ! Je vais le dire !
0xA45449: Battu par un môme…\nComment tu dors la nuit ?
0xA4547D: La voie du Chasseur d'Insecte !\nObserve-la bien !
0xA454AD: Gloire aux Chasseurs d'Insecte !
0xA454C4: Voilà la voie du Chasseur\nd'Insecte !
0xA454E8: Je vais t'attraper avec mon filet !
0xA45503: Hé ! Ne fuis pas !
0xA45518: C'est dans la poche !
0xA45529: Je capture et j'élève tout plein de\nPokémon Insecte.
0xA45555: Je dois encore entraîner mes\nPokémon !
0xA4557B: Tu vois ? Je les ai bien entraînés.
0xA4559E: Je cherche des accessoires trop\nmignons.
0xA455CB: J'aimerais pouvoir me déguiser !
0xA455E4: Préviens-moi si tu trouves de beaux\naccessoires !
0xA45612: Ma politique : toujours en\nminijupe !
0xA45639: C'est quoi ta politique ?
0xA4564D: Les minijupes, c'est le top !
0xA4566A: C'est parti !
0xA45675: Comment tu peux malmener\nune pauvre petite fille ?
0xA4569D: Pris en flag' de sieste !
0xA456B2: La mer, ma belle mer !
0xA456CD: Je veux devenir un grand homme.\nGrand comme la mer, grand.
0xA456FF: Oh… Je les entends…\pJ'entends le son des vagues…
0xA4572B: Je suis le Marin des Marins !\nNé en haute mer !
0xA45766: Burp… Gweh…\pQuand je monte à terre, j'ai\nmal de terre…
0xA457A6: Les vagues m'ont bercé !\nLa mer était ma mère !
0xA457DB: Allez ! Charge-moi !\nJe peux encaisser !
0xA45805: Bien joué ! Tu as géré mon gabarit !
0xA45828: Alors, t'en dis quoi ?\nTrop costaud pour toi ?
0xA45861: Mes Pokémon se sont entraînés dans les forêts.
0xA45880: Je retourne dans la forêt.
0xA4589E: C'est la force des forêts.
0xA458BD: Le Campeur infatigable se dresse\nfermement !
0xA458E7: J'aimerais devenir ton disciple.\n
0xA4590B: Tu peux devenir disciple si tu veux.\n
0xA45933: Hein ? Où est tout le monde ?
0xA4594C: Je suis venu camper, mais je crois\navoir perdu mes amis…
0xA45989: Hé, les gars ! Vous êtes où ?!
0xA459A4: Je vais me battre comme en plein\npique-nique !
0xA459CA: Faire comme si c'était un\npique-nique ne me fera pas gagner.
