Line 1: \p count mismatch (origin=0, fr=1)
Line 105: \l count mismatch (origin=2, fr=0)
Line 106: \p count mismatch (origin=3, fr=1)
Line 107: \p count mismatch (origin=2, fr=1)
Line 107: \l count mismatch (origin=0, fr=1)
Line 108: \p count mismatch (origin=2, fr=1)
Line 108: \l count mismatch (origin=0, fr=1)
Line 109: \l count mismatch (origin=1, fr=0)
Line 111: \p count mismatch (origin=1, fr=0)
Line 112: \p count mismatch (origin=1, fr=0)
Line 115: \p count mismatch (origin=2, fr=0)
Line 116: \p count mismatch (origin=1, fr=0)
Line 117: \l count mismatch (origin=0, fr=1)
Line 118: \p count mismatch (origin=1, fr=0)
Line 118: \l count mismatch (origin=0, fr=1)
Line 119: \p count mismatch (origin=1, fr=0)
Line 119: \l count mismatch (origin=2, fr=0)
Line 120: \l count mismatch (origin=0, fr=1)
Line 121: \p count mismatch (origin=0, fr=3)
Line 121: \l count mismatch (origin=1, fr=0)
Line 123: \p count mismatch (origin=0, fr=1)
Line 123: \l count mismatch (origin=1, fr=0)
Line 124: \p count mismatch (origin=0, fr=1)
Line 124: segment too long (37>36) ->  Les esprits piégés ont été libérés !
Line 125: \p count mismatch (origin=0, fr=2)
Line 126: \p count mismatch (origin=5, fr=0)
Line 126: \l count mismatch (origin=1, fr=0)
Line 127: \p count mismatch (origin=2, fr=0)
Line 127: \l count mismatch (origin=1, fr=0)
Line 128: \p count mismatch (origin=1, fr=2)
Line 128: \l count mismatch (origin=0, fr=3)
Line 129: \p count mismatch (origin=1, fr=2)
Line 129: \l count mismatch (origin=0, fr=3)
Line 130: \l count mismatch (origin=1, fr=3)
Line 131: \p count mismatch (origin=0, fr=2)
Line 131: \l count mismatch (origin=0, fr=1)
Line 132: \p count mismatch (origin=3, fr=2)
Line 132: \l count mismatch (origin=1, fr=0)
Line 133: \p count mismatch (origin=0, fr=1)
Line 134: \p count mismatch (origin=1, fr=0)
Line 136: \p count mismatch (origin=0, fr=3)
Line 138: \p count mismatch (origin=0, fr=1)
Line 139: \p count mismatch (origin=3, fr=1)
Line 139: \l count mismatch (origin=1, fr=0)
Line 140: \l count mismatch (origin=1, fr=0)
Line 141: \p count mismatch (origin=0, fr=3)
Line 142: \p count mismatch (origin=0, fr=1)
Line 143: \p count mismatch (origin=0, fr=3)
Line 143: \l count mismatch (origin=0, fr=1)
Line 145: \p count mismatch (origin=0, fr=2)
Line 145: \l count mismatch (origin=0, fr=2)
Line 146: \p count mismatch (origin=0, fr=8)
Line 146: \l count mismatch (origin=0, fr=2)
Line 147: \p count mismatch (origin=0, fr=2)
Line 148: \p count mismatch (origin=0, fr=1)
Line 150: \p count mismatch (origin=0, fr=1)
Line 151: \p count mismatch (origin=0, fr=2)
Line 151: \l count mismatch (origin=0, fr=1)
Line 152: \p count mismatch (origin=0, fr=1)
Line 152: \l count mismatch (origin=0, fr=1)
Line 156: \p count mismatch (origin=0, fr=3)
Line 158: \p count mismatch (origin=0, fr=9)
Line 158: \l count mismatch (origin=0, fr=4)
Line 159: \p count mismatch (origin=1, fr=0)
Line 160: \p count mismatch (origin=4, fr=2)
Line 160: \l count mismatch (origin=0, fr=1)
Line 160: segment too long (37>36) ->  Remarquable. Tant pour avoir utilisé
Line 162: \p count mismatch (origin=1, fr=2)
Line 162: \l count mismatch (origin=0, fr=4)
Line 163: \l count mismatch (origin=0, fr=1)
Line 164: \p count mismatch (origin=0, fr=3)
Line 165: \p count mismatch (origin=0, fr=2)
Line 165: \l count mismatch (origin=0, fr=1)
Line 166: \p count mismatch (origin=1, fr=0)
Line 166: \l count mismatch (origin=3, fr=0)
Line 167: \p count mismatch (origin=3, fr=0)
Line 168: \p count mismatch (origin=7, fr=3)
Line 169: \p count mismatch (origin=1, fr=2)
Line 170: \p count mismatch (origin=2, fr=0)
Line 172: \p count mismatch (origin=1, fr=7)
Line 173: \p count mismatch (origin=1, fr=6)
Line 174: \p count mismatch (origin=1, fr=5)
Line 174: \l count mismatch (origin=1, fr=0)
Line 175: \l count mismatch (origin=1, fr=0)
Line 176: \p count mismatch (origin=0, fr=2)
Line 178: \p count mismatch (origin=0, fr=2)
Line 178: \l count mismatch (origin=0, fr=1)
Line 179: \p count mismatch (origin=0, fr=4)
Line 179: \l count mismatch (origin=0, fr=3)
Line 180: \p count mismatch (origin=0, fr=2)
Line 180: \l count mismatch (origin=0, fr=2)
Line 184: \p count mismatch (origin=0, fr=9)
Line 184: \l count mismatch (origin=0, fr=5)
Line 185: \p count mismatch (origin=0, fr=1)
Line 185: \l count mismatch (origin=0, fr=1)
Line 186: \p count mismatch (origin=0, fr=2)
Line 186: \l count mismatch (origin=0, fr=1)
Line 187: \p count mismatch (origin=3, fr=0)
Line 188: \p count mismatch (origin=0, fr=4)
Line 188: \l count mismatch (origin=0, fr=1)
Line 189: \p count mismatch (origin=1, fr=3)
Line 189: \l count mismatch (origin=0, fr=3)
Line 190: \p count mismatch (origin=1, fr=0)
Line 190: \l count mismatch (origin=0, fr=1)
Line 191: \p count mismatch (origin=2, fr=0)
Line 193: \p count mismatch (origin=0, fr=11)
Line 193: \l count mismatch (origin=0, fr=5)
Line 194: \p count mismatch (origin=2, fr=3)
Line 194: \l count mismatch (origin=2, fr=1)
Line 195: \p count mismatch (origin=2, fr=0)
Line 195: \l count mismatch (origin=3, fr=0)
Line 195: segment too long (37>36) -> Ta technologie a surpassé la mienne !
Line 196: \l count mismatch (origin=3, fr=2)
Line 197: \p count mismatch (origin=2, fr=0)
Line 197: \l count mismatch (origin=1, fr=0)
Line 198: \p count mismatch (origin=2, fr=3)
Line 198: \l count mismatch (origin=0, fr=1)
Line 199: \p count mismatch (origin=1, fr=3)
Line 199: \l count mismatch (origin=0, fr=2)
Line 200: \p count mismatch (origin=0, fr=1)
Line 200: \l count mismatch (origin=0, fr=1)
Line 202: \p count mismatch (origin=3, fr=0)
Line 203: \p count mismatch (origin=1, fr=10)
Line 203: \l count mismatch (origin=0, fr=1)
Line 203: segment too long (37>36) ->  Tiens, regarde qui est venu soulager
Line 203: segment too long (39>36) -> peux faire au caïd de Ville d'Antisis !
Line 204: \p count mismatch (origin=1, fr=0)
Line 206: \p count mismatch (origin=2, fr=1)
Line 207: \p count mismatch (origin=3, fr=4)
Line 207: \l count mismatch (origin=0, fr=3)
Line 207: segment too long (41>36) -> Même si Ville d'Antisis est un trou, j'ai
Line 208: \p count mismatch (origin=1, fr=0)
Line 209: \p count mismatch (origin=3, fr=5)
Line 209: \l count mismatch (origin=1, fr=2)
Line 210: \p count mismatch (origin=0, fr=5)
Line 211: \l count mismatch (origin=2, fr=1)
Line 212: \p count mismatch (origin=8, fr=0)
Line 212: \l count mismatch (origin=1, fr=0)
Line 213: \p count mismatch (origin=2, fr=0)
Line 214: \p count mismatch (origin=1, fr=6)
Line 214: \l count mismatch (origin=0, fr=2)
Line 215: \p count mismatch (origin=1, fr=3)
Line 217: \p count mismatch (origin=2, fr=1)
Line 218: \p count mismatch (origin=1, fr=0)
Line 219: \p count mismatch (origin=0, fr=4)
Line 219: \l count mismatch (origin=0, fr=1)
Line 220: \p count mismatch (origin=0, fr=7)
Line 220: \l count mismatch (origin=0, fr=4)
Line 221: \p count mismatch (origin=0, fr=1)
Line 222: \p count mismatch (origin=3, fr=0)
Line 224: \p count mismatch (origin=9, fr=0)
Line 224: \l count mismatch (origin=3, fr=0)
Line 225: \p count mismatch (origin=0, fr=11)
Line 225: \l count mismatch (origin=0, fr=6)
Line 226: \p count mismatch (origin=2, fr=1)
Line 226: \l count mismatch (origin=1, fr=0)
Line 227: \p count mismatch (origin=0, fr=3)
Line 227: \l count mismatch (origin=0, fr=2)
Line 228: \p count mismatch (origin=2, fr=0)
Line 228: \l count mismatch (origin=4, fr=0)
Line 229: \p count mismatch (origin=1, fr=2)
Line 229: \l count mismatch (origin=1, fr=4)
Line 230: \p count mismatch (origin=3, fr=4)
Line 230: \l count mismatch (origin=0, fr=2)
Line 231: \p count mismatch (origin=2, fr=4)
Line 233: \l count mismatch (origin=0, fr=1)
Line 234: \p count mismatch (origin=3, fr=0)
Line 234: \l count mismatch (origin=4, fr=0)
Line 235: \p count mismatch (origin=2, fr=1)
Line 235: \l count mismatch (origin=1, fr=0)
Line 237: \l count mismatch (origin=0, fr=1)
Line 238: \p count mismatch (origin=7, fr=1)
Line 238: \l count mismatch (origin=2, fr=0)
Line 239: \p count mismatch (origin=6, fr=1)
Line 239: \l count mismatch (origin=2, fr=0)
Line 240: \p count mismatch (origin=5, fr=0)
Line 241: \p count mismatch (origin=1, fr=0)
Line 241: \l count mismatch (origin=0, fr=3)
Line 242: \p count mismatch (origin=2, fr=1)
Line 244: \p count mismatch (origin=2, fr=0)
Line 244: \l count mismatch (origin=1, fr=3)
Line 245: \p count mismatch (origin=4, fr=0)
Line 245: \l count mismatch (origin=2, fr=0)
Line 246: \p count mismatch (origin=2, fr=0)
Line 246: \l count mismatch (origin=2, fr=1)
Line 247: segment too long (37>36) ->  Avec tes compétences, tu iras loin !
Line 250: \p count mismatch (origin=9, fr=0)
Line 250: \l count mismatch (origin=3, fr=1)
