Line 1: \p count mismatch (origin=1, fr=0)
Line 59: \p count mismatch (origin=1, fr=0)
Line 59: \l count mismatch (origin=1, fr=0)
Line 60: \p count mismatch (origin=0, fr=11)
Line 60: \l count mismatch (origin=0, fr=2)
Line 61: \p count mismatch (origin=2, fr=1)
Line 62: \p count mismatch (origin=0, fr=15)
Line 62: \l count mismatch (origin=1, fr=7)
Line 62: segment too long (37>36) -> d'aller à {COLOR}ÉBourg Vivill{COLOR}Ë et d'aider les
Line 63: \p count mismatch (origin=0, fr=1)
Line 63: \l count mismatch (origin=0, fr=2)
Line 65: \p count mismatch (origin=0, fr=3)
Line 65: \l count mismatch (origin=0, fr=2)
Line 66: \p count mismatch (origin=0, fr=2)
Line 66: \l count mismatch (origin=2, fr=1)
Line 66: segment too long (63>36) ->  Looker: {COLOR}ËAttends, attends ! Pour l'instant, les Ombres sont nos
Line 67: \p count mismatch (origin=0, fr=1)
Line 67: \l count mismatch (origin=0, fr=2)
Line 68: \p count mismatch (origin=0, fr=2)
Line 68: \l count mismatch (origin=1, fr=2)
Line 69: \p count mismatch (origin=0, fr=2)
Line 69: \l count mismatch (origin=1, fr=0)
Line 70: segment too long (44>36) ->  Aujourd'hui semble être mon jour de chance.
Line 72: \l count mismatch (origin=1, fr=0)
Line 73: \p count mismatch (origin=0, fr=1)
Line 73: \l count mismatch (origin=2, fr=0)
Line 75: \p count mismatch (origin=0, fr=1)
Line 75: \l count mismatch (origin=0, fr=1)
Line 76: \p count mismatch (origin=3, fr=0)
Line 77: \l count mismatch (origin=2, fr=0)
Line 78: \p count mismatch (origin=1, fr=0)
Line 79: \p count mismatch (origin=1, fr=0)
Line 80: \p count mismatch (origin=1, fr=0)
Line 81: \p count mismatch (origin=1, fr=0)
Line 81: \l count mismatch (origin=1, fr=0)
Line 82: \p count mismatch (origin=5, fr=0)
Line 82: \l count mismatch (origin=4, fr=0)
Line 85: \l count mismatch (origin=1, fr=0)
Line 86: \p count mismatch (origin=1, fr=0)
Line 86: \l count mismatch (origin=2, fr=0)
Line 88: \p count mismatch (origin=1, fr=0)
Line 88: segment too long (38>36) -> l'équipe adverse des coups critiques !
Line 90: \p count mismatch (origin=2, fr=0)
Line 91: \p count mismatch (origin=2, fr=0)
Line 91: \l count mismatch (origin=1, fr=0)
Line 92: \p count mismatch (origin=1, fr=0)
Line 92: \l count mismatch (origin=1, fr=0)
Line 93: \p count mismatch (origin=2, fr=0)
Line 94: \p count mismatch (origin=1, fr=0)
Line 95: \p count mismatch (origin=2, fr=0)
Line 95: \l count mismatch (origin=1, fr=0)
Line 96: \p count mismatch (origin=2, fr=0)
Line 97: \p count mismatch (origin=2, fr=0)
Line 98: \p count mismatch (origin=1, fr=0)
Line 99: \p count mismatch (origin=2, fr=0)
Line 100: \p count mismatch (origin=1, fr=0)
Line 100: \l count mismatch (origin=4, fr=0)
Line 101: \p count mismatch (origin=2, fr=0)
Line 102: \p count mismatch (origin=3, fr=0)
Line 103: \p count mismatch (origin=1, fr=0)
Line 103: \l count mismatch (origin=1, fr=0)
Line 113: \l count mismatch (origin=0, fr=1)
Line 114: \p count mismatch (origin=2, fr=0)
Line 114: \l count mismatch (origin=1, fr=0)
Line 115: \p count mismatch (origin=1, fr=0)
Line 116: \p count mismatch (origin=8, fr=0)
Line 116: \l count mismatch (origin=7, fr=0)
Line 118: \p count mismatch (origin=2, fr=0)
Line 119: \p count mismatch (origin=1, fr=0)
Line 126: \p count mismatch (origin=11, fr=0)
Line 126: \l count mismatch (origin=2, fr=0)
Line 127: \p count mismatch (origin=1, fr=0)
Line 128: \p count mismatch (origin=15, fr=0)
Line 128: \l count mismatch (origin=7, fr=0)
Line 129: \p count mismatch (origin=1, fr=0)
Line 129: \l count mismatch (origin=2, fr=0)
Line 131: \p count mismatch (origin=3, fr=0)
Line 131: \l count mismatch (origin=2, fr=0)
Line 132: \p count mismatch (origin=2, fr=0)
Line 132: \l count mismatch (origin=1, fr=0)
Line 133: \p count mismatch (origin=1, fr=0)
Line 133: \l count mismatch (origin=2, fr=0)
Line 134: \p count mismatch (origin=2, fr=0)
Line 134: \l count mismatch (origin=2, fr=0)
Line 135: \p count mismatch (origin=2, fr=0)
Line 138: \p count mismatch (origin=1, fr=0)
Line 139: \p count mismatch (origin=1, fr=0)
Line 141: \p count mismatch (origin=1, fr=0)
Line 141: \l count mismatch (origin=1, fr=0)
Line 145: segment too long (42>36) ->  {B_ATK_NAME_WITH_PREFIX} se charge complètement grâce à son Herbe
Line 149: segment too long (37>36) ->  Des pierres pointues flottent autour
Line 150: segment too long (37>36) ->  Des Pics Toxik sont dispersés autour
Line 154: \l count mismatch (origin=0, fr=1)
Line 154: segment too long (37>36) ->  Vous sentez de nombreuses présences.
Line 167: \l count mismatch (origin=0, fr=1)
Line 177: \l count mismatch (origin=0, fr=1)
Line 178: \l count mismatch (origin=0, fr=1)
Line 179: \l count mismatch (origin=1, fr=0)
Line 180: \l count mismatch (origin=0, fr=1)
Line 183: segment too long (38>36) ->  Une mer de feu entoure votre équipe !
Line 186: segment too long (39>36) ->  Un marais engloutit l'équipe adverse !
Line 190: \p count mismatch (origin=0, fr=1)
Line 220: \l count mismatch (origin=1, fr=0)
Line 224: segment too long (40>36) ->  Le lanceur polit son corps pour booster
Line 233: \l count mismatch (origin=1, fr=0)
Line 243: \l count mismatch (origin=1, fr=0)
Line 244: \l count mismatch (origin=1, fr=0)
Line 246: \l count mismatch (origin=1, fr=0)
