Line 1: \p count mismatch (origin=2, fr=1)
Line 71: \p count mismatch (origin=3, fr=0)
Line 73: \p count mismatch (origin=1, fr=0)
Line 74: segment too long (70>36) ->  La plus haute montagne de Borrius. Elle tire son nom du grand cristal
Line 75: consecutive \n found in fr, not in origin
Line 77: \p count mismatch (origin=0, fr=2)
Line 77: segment too long (54>36) ->  Ooh, bonjour ici… Je viens d'apprendre à utiliser ces
Line 78: segment too long (45>36) ->  Par ici, vous regardez maintenant, oui, oui.
Line 79: \p count mismatch (origin=0, fr=1)
Line 79: segment too long (40>36) ->  Maintenant, le cristal monte, oui, oui.
Line 80: \p count mismatch (origin=0, fr=1)
Line 81: \p count mismatch (origin=0, fr=1)
Line 81: \l count mismatch (origin=0, fr=1)
Line 81: segment too long (70>36) ->  Si les cristaux des totems montent, disparaissent les autres cristaux
Line 82: segment too long (42>36) ->  Apprenez, vous ne le ferez pas, non, non.
Line 83: \p count mismatch (origin=0, fr=1)
Line 84: segment too long (40>36) ->  Faire glisser le cristal vers le haut ?
Line 85: segment too long (38>36) ->  Faire glisser le cristal vers le bas?
Line 86: \p count mismatch (origin=0, fr=2)
Line 86: segment too long (38>36) ->  Ces cristaux regorgent de merveilles.
Line 87: \p count mismatch (origin=0, fr=2)
Line 89: segment too long (63>36) ->  Une petite fille a été enlevée par un Baudrive ! Trouvez-la et
Line 90: \p count mismatch (origin=0, fr=4)
Line 90: \l count mismatch (origin=0, fr=1)
Line 90: segment too long (78>36) ->  {COLOR}ÇOh mon Dieu… Ma fille, je ne la trouve pas ! Nous étions en vacances dans cet
Line 91: \p count mismatch (origin=0, fr=2)
Line 91: segment too long (42>36) ->  {COLOR}ÇMerci, {STR_VAR_1}! Elle a été emmenée par un de ces
Line 92: \p count mismatch (origin=0, fr=1)
Line 93: \p count mismatch (origin=0, fr=2)
Line 93: segment too long (42>36) ->  {COLOR}ÇSniff… Ce ballon effrayant m'a transporté
Line 94: \p count mismatch (origin=0, fr=1)
Line 94: segment too long (44>36) ->  {COLOR}ÇLe ballon effrayant m'a ramené à ma maman !
Line 97: \p count mismatch (origin=0, fr=2)
Line 97: segment too long (63>36) ->  {COLOR}ÇOh, Dieu merci, tu es de retour ! Ce… ce… Pokémon maléfique ne
Line 98: \p count mismatch (origin=0, fr=2)
Line 98: segment too long (39>36) ->  {COLOR}ÁLe Idem a été emporté par le Baudrive.
Line 101: \p count mismatch (origin=0, fr=6)
Line 101: segment too long (39>36) ->  Heeyo ! J'ai deez émeraudes sur fiya !
Line 102: \p count mismatch (origin=0, fr=3)
Line 102: segment too long (83>36) ->  Heeyo ! Mes émeraudes étaient toutes sur fiya ! Maintenant, elles ne sont plus sur
Line 103: \p count mismatch (origin=0, fr=3)
Line 105: \p count mismatch (origin=0, fr=4)
Line 105: segment too long (37>36) ->  Hé ouais____S_S!_C!_C!_Proup ! Ceux!
Line 106: \p count mismatch (origin=0, fr=5)
Line 106: segment too long (65>36) ->  Heeyo! Dem émeraudes, tu n'as pas toutes! Tu n'as que {COLOR}É{STR_VAR_2}{COLOR}Ë émeraude{VERSION}!
Line 107: \p count mismatch (origin=0, fr=3)
Line 110: segment too long (37>36) ->  Cette émeraude a été trouvée sur B1F
Line 111: segment too long (37>36) ->  Cette émeraude a été trouvée dans la
Line 112: segment too long (37>36) ->  Cette émeraude a été trouvée dans la
Line 113: segment too long (37>36) ->  Cette émeraude a été trouvée dans la
Line 114: segment too long (72>36) ->  Cette émeraude a été trouvée dans la pièce gauche au 1F sous un cristal
Line 115: segment too long (37>36) ->  Cette émeraude a été trouvée dans la
Line 116: segment too long (72>36) ->  Cette émeraude a été trouvée dans la pièce droite au 1F sous un cristal
Line 117: segment too long (72>36) ->  Cette émeraude a été trouvée dans la pièce droite au 1F sous un cristal
Line 118: segment too long (37>36) ->  Cette émeraude a été trouvée dans la
Line 121: \p count mismatch (origin=0, fr=2)
Line 122: segment too long (65>36) ->  Vous m'avez battu, alors revenez dans l'autre sens comme de bons
Line 123: \p count mismatch (origin=0, fr=1)
Line 123: \l count mismatch (origin=0, fr=1)
Line 124: \p count mismatch (origin=0, fr=2)
Line 126: \p count mismatch (origin=0, fr=2)
Line 126: segment too long (61>36) ->  {COLOR}ÇD'accord, très bien, je donne. Nous ne nous soucions pas des
Line 127: \p count mismatch (origin=0, fr=1)
Line 129: \p count mismatch (origin=0, fr=1)
Line 129: segment too long (93>36) ->  Aklove m'a embauché lui-même. Il m'a promis des richesses incalculables si je l'aidais, mais
Line 130: \p count mismatch (origin=0, fr=1)
Line 130: segment too long (43>36) ->  {COLOR}ÇAttendez ! Nous avons reçu l’ordre de vous
Line 132: \p count mismatch (origin=0, fr=1)
Line 132: segment too long (59>36) ->  {COLOR}ÇMaintenant que j'ai échoué dans mon seul travail, il ne me
Line 133: \p count mismatch (origin=0, fr=2)
Line 133: segment too long (90>36) ->  Je parie que vous ne vous souvenez pas de moi, hein ? Vous avez sauvé ma peau d'un Shadow
Line 135: \p count mismatch (origin=0, fr=1)
Line 135: segment too long (57>36) ->  Vous pensez que je serais reconnaissant pour votre aide,
Line 136: \p count mismatch (origin=0, fr=1)
Line 136: \l count mismatch (origin=0, fr=1)
Line 138: \p count mismatch (origin=0, fr=1)
Line 138: \l count mismatch (origin=0, fr=1)
Line 141: \p count mismatch (origin=0, fr=1)
Line 142: \p count mismatch (origin=1, fr=0)
Line 143: \p count mismatch (origin=2, fr=0)
Line 144: \p count mismatch (origin=0, fr=2)
Line 144: segment too long (55>36) ->  Je viens de Hoenn. Donc, je suis tout à fait favorable
Line 145: \p count mismatch (origin=1, fr=2)
Line 146: \l count mismatch (origin=0, fr=1)
Line 146: segment too long (61>36) ->  {COLOR}ËMaintenant, restez dans notre prison pour votre propre garde
Line 147: \l count mismatch (origin=1, fr=0)
Line 149: \p count mismatch (origin=1, fr=0)
Line 150: \p count mismatch (origin=0, fr=1)
Line 151: segment too long (57>36) ->  Je ne dois pas avoir configuré correctement mon appareil
Line 152: \p count mismatch (origin=2, fr=0)
Line 152: segment too long (72>36) ->  L'énergie naturelle trouvée ici est encore plus forte que l'électricité
Line 153: \p count mismatch (origin=2, fr=0)
Line 153: segment too long (37>36) ->  Il y a un cristal géant au sommet de
Line 155: \p count mismatch (origin=0, fr=1)
Line 155: \l count mismatch (origin=0, fr=1)
Line 156: \p count mismatch (origin=4, fr=0)
Line 156: \l count mismatch (origin=1, fr=0)
Line 156: segment too long (66>36) ->  Essayez de ne pas être choqué lorsque vous posez vos yeux sur mon
Line 157: \p count mismatch (origin=2, fr=0)
Line 157: segment too long (70>36) ->  Le véritable pouvoir d'un Pokémon de type Dragon n'a rien à voir avec
Line 159: \p count mismatch (origin=2, fr=1)
Line 159: segment too long (58>36) ->  C’est un endroit où les Dresseurs coriaces se rassemblent
Line 160: \p count mismatch (origin=1, fr=0)
Line 160: segment too long (70>36) ->  C'est pourquoi j'aime cet endroit ; Je peux affronter des personnages
Line 162: \p count mismatch (origin=0, fr=2)
Line 163: \p count mismatch (origin=2, fr=0)
Line 164: \p count mismatch (origin=2, fr=0)
Line 164: \l count mismatch (origin=0, fr=1)
Line 165: \p count mismatch (origin=0, fr=1)
Line 166: segment too long (63>36) ->  Le pouvoir dont nous disposons n’était pas suffisant pour vous
Line 167: \p count mismatch (origin=6, fr=1)
Line 167: \l count mismatch (origin=0, fr=1)
Line 167: segment too long (70>36) ->  Arrêtez-vous chez Cube Corp. un jour! En utilisant l'énergie que l'on
Line 168: \p count mismatch (origin=3, fr=1)
Line 169: \p count mismatch (origin=3, fr=0)
Line 169: segment too long (62>36) ->  Il semble que les années d’expérience chez Cube Corp. ne sont
Line 170: \l count mismatch (origin=0, fr=1)
Line 170: segment too long (37>36) ->  Je suis un fier membre de Cube Corp.
Line 171: \p count mismatch (origin=4, fr=3)
Line 171: \l count mismatch (origin=0, fr=1)
Line 171: segment too long (57>36) ->  Je m'appelle Krystal. Oui… mes parents aimaient beaucoup
Line 172: \p count mismatch (origin=5, fr=3)
Line 172: segment too long (57>36) ->  Je m'appelle Krystal. Oui… mes parents aimaient beaucoup
Line 173: \p count mismatch (origin=3, fr=0)
Line 174: \p count mismatch (origin=0, fr=3)
Line 175: \l count mismatch (origin=0, fr=1)
Line 175: segment too long (38>36) ->  Si {COLOR}ÉAbsol{COLOR}Ç détient le {COLOR}ÉAbsolite{COLOR}Ç, il peut
Line 181: \p count mismatch (origin=0, fr=1)
Line 182: segment too long (52>36) ->  {COLOR}Á{STR_VAR_1} a joyeusement rejoint votre camp ! Il a une nature
Line 183: segment too long (37>36) ->  Oh, {RIVAL}… Pourquoi ne peux-tu pas
Line 185: \p count mismatch (origin=0, fr=1)
Line 185: \l count mismatch (origin=0, fr=1)
Line 187: \p count mismatch (origin=2, fr=0)
Line 188: \p count mismatch (origin=0, fr=3)
Line 188: segment too long (136>36) ->  Les Poké Balls et les Cubes sont assez similaires, n'est-ce pas ? Je veux dire, ils sont construits pour rendre les choses plus petites
Line 189: \l count mismatch (origin=1, fr=0)
Line 189: segment too long (77>36) ->  Tout ce que je voulais, c'était parler à quelqu'un pour réparer mon Cube V3…
Line 190: \l count mismatch (origin=0, fr=1)
Line 190: segment too long (65>36) ->  Chez Cube Corp., nous pensons que avec la science, nous devrions
Line 191: \p count mismatch (origin=0, fr=1)
Line 191: \l count mismatch (origin=0, fr=1)
Line 191: segment too long (66>36) ->  Les Pokémon Rangers manifestent régulièrement devant cet endroit.
Line 192: \p count mismatch (origin=2, fr=1)
Line 192: segment too long (56>36) ->  Oh non… les couleurs de mon uniforme étaient au lavage…
Line 193: \p count mismatch (origin=1, fr=3)
Line 193: \l count mismatch (origin=0, fr=1)
Line 193: segment too long (142>36) ->  J'ai payé une dame avec des {COLOR}ÉCapsules{COLOR}Ç pour augmenter le potentiel de mon Pokémon… Et j'ai payé de l'argent pour qu'un scientifique à la {COLOR}ÉBattle
Line 194: \p count mismatch (origin=0, fr=1)
Line 194: \l count mismatch (origin=0, fr=3)
Line 194: segment too long (121>36) ->  Les travailleurs de Cube Corp. sont tellement géniaux qu'ils prennent même du temps, malgré leurs horaires chargés, pour
Line 195: \p count mismatch (origin=1, fr=4)
Line 195: \l count mismatch (origin=0, fr=2)
Line 195: segment too long (150>36) ->  Tout ce que font ces Rangers, c'est protester contre les « maux » de Cube Corp. Je vous ferai savoir qu'il n'y a rien de mal à propos de Cube Corp. !
Line 196: \l count mismatch (origin=0, fr=3)
Line 196: segment too long (64>36) ->  Maintenant que la direction a subi une refonte complète, que va
Line 197: \l count mismatch (origin=0, fr=1)
Line 197: segment too long (74>36) ->  Il n'y a pas de Centre Pokémon ici à Cube Corp., alors laissez-moi plutôt
Line 198: \p count mismatch (origin=1, fr=2)
Line 198: \l count mismatch (origin=0, fr=2)
Line 198: segment too long (71>36) ->  Bien qu'il n'y ait pas de Centre Pokémon ici, vous ne trouverez pas de
Line 199: \p count mismatch (origin=2, fr=0)
Line 200: \p count mismatch (origin=0, fr=3)
Line 200: \l count mismatch (origin=0, fr=1)
Line 200: segment too long (53>36) ->  Désolé, champion ! Ça vous dérangerait d'attendre un
Line 201: \p count mismatch (origin=1, fr=6)
Line 201: \l count mismatch (origin=0, fr=5)
Line 201: segment too long (105>36) ->  À bas Cube Corp ! À bas Cube Corp ! Je proteste contre les méfaits de Cube Corp, et en particulier de la
Line 202: \p count mismatch (origin=1, fr=0)
Line 202: \l count mismatch (origin=1, fr=0)
Line 203: \p count mismatch (origin=0, fr=6)
Line 203: \l count mismatch (origin=0, fr=1)
Line 203: segment too long (85>36) ->  C'est ça! Ce sont eux ! Attendez…{PAUSE}ね combien de temps s'est écoulé depuis J'ai vérifié
Line 204: \p count mismatch (origin=1, fr=2)
Line 204: segment too long (111>36) ->  Ces Sabelette de type Glace et Sablaireau ne sont pas originaires de Borrius. Quelqu'un doit toujours être là,
Line 206: \p count mismatch (origin=0, fr=1)
Line 206: \l count mismatch (origin=0, fr=1)
Line 206: segment too long (69>36) ->  Nous risquons notre emploi simplement en protestant ici, je le sais.
Line 207: \p count mismatch (origin=1, fr=2)
Line 207: segment too long (107>36) ->  Seuls les éleveurs de Pokémon ont le droit de se mêler de la génétique Pokémon ! Ce n'est pas un groupe de
Line 208: \p count mismatch (origin=0, fr=8)
Line 208: segment too long (39>36) ->  Cette pierre de magma dans votre cube…
Line 209: \p count mismatch (origin=0, fr=1)
Line 209: segment too long (59>36) ->  Vous devriez apporter cette {COLOR}ÉPierre Magma{COLOR}Ë au {COLOR}ÉVolcan Cinder{COLOR}Ë.
Line 210: \p count mismatch (origin=2, fr=1)
Line 210: segment too long (48>36) ->  Grr…{PAUSE}ね Je dois partir pour le moment, Cube Corp…
Line 211: \p count mismatch (origin=2, fr=1)
Line 211: \l count mismatch (origin=0, fr=1)
Line 211: segment too long (81>36) ->  Ce n'est qu'une question de temps avant que le ​​public découvre ce qui se passe
Line 212: \p count mismatch (origin=1, fr=2)
Line 212: \l count mismatch (origin=1, fr=0)
Line 212: segment too long (69>36) ->  Vous ne pouvez pas nous tromper, Cube Corp ! Nous savons ce que vous
Line 213: \p count mismatch (origin=1, fr=3)
Line 213: \l count mismatch (origin=0, fr=1)
Line 213: segment too long (139>36) ->  Les gens disent que les {COLOR}ÉMaster Balls{COLOR}Ë sont efficaces, mais en échange, elles sont difficiles à produire… Montre ce qu'ils savent, parce que
Line 215: \p count mismatch (origin=0, fr=1)
Line 216: segment too long (67>36) ->  Je suis encore à genoux dans les Balls ! Apportez un autre {COLOR}É{STR_VAR_2}{COLOR}Ë Gemmes
Line 217: \p count mismatch (origin=0, fr=1)
Line 219: \p count mismatch (origin=0, fr=8)
Line 219: \l count mismatch (origin=0, fr=3)
Line 219: segment too long (173>36) ->  Upupupu… Je te reconnais… tu es le Champion de Borrius, n'est-ce pas ? Avez-vous déjà trouvé l'un de ces étranges portails autour de Borrius? Et avez-vous trouvé d'étranges
Line 220: \p count mismatch (origin=0, fr=1)
Line 220: segment too long (41>36) ->  Alors, avez-vous apporté des {COLOR}ÉIron Balls{COLOR}Ç?
Line 221: \p count mismatch (origin=1, fr=0)
Line 221: \l count mismatch (origin=1, fr=0)
Line 223: \p count mismatch (origin=0, fr=3)
Line 223: \l count mismatch (origin=0, fr=1)
Line 223: segment too long (63>36) ->  Upupupu… Merci gentiment. Il y a tout un art dans tout ça… ils
Line 224: \p count mismatch (origin=1, fr=2)
Line 224: \l count mismatch (origin=0, fr=1)
Line 224: segment too long (65>36) ->  Upupupu… Les portails d'où émergent ces créatures ont tendance à
Line 226: \p count mismatch (origin=0, fr=1)
Line 227: \p count mismatch (origin=0, fr=2)
Line 227: \l count mismatch (origin=0, fr=2)
Line 227: segment too long (139>36) ->  Bwahahaha ! Vous êtes là, Entraîneur! Si vous me le permettez, je vais démontrer un exploit scientifique que beaucoup croient impossible !
Line 228: \p count mismatch (origin=2, fr=0)
Line 228: segment too long (44>36) ->  Quelle pierre dois-je fabriquer pour vous ?
Line 229: segment too long (57>36) ->  Ensuite, vous voulez que je transforme vos Everstones en
Line 230: \l count mismatch (origin=1, fr=0)
Line 231: \p count mismatch (origin=1, fr=3)
Line 231: \l count mismatch (origin=0, fr=1)
Line 231: segment too long (68>36) ->  Bwahahaha ! Avez-vous vu ça !? Ils ont tous dit qu'un objet destiné
Line 232: \l count mismatch (origin=0, fr=2)
Line 232: segment too long (67>36) ->  Si vous rencontrez d'autres Everstones, je serai heureux de dire à
Line 233: \l count mismatch (origin=1, fr=0)
Line 235: segment too long (53>36) ->  Waouh ! Il vous manque les Everstones pour ma grande
Line 236: \l count mismatch (origin=1, fr=0)
Line 237: \p count mismatch (origin=3, fr=0)
Line 237: \l count mismatch (origin=1, fr=0)
Line 238: \p count mismatch (origin=3, fr=0)
Line 240: \p count mismatch (origin=3, fr=0)
Line 241: \l count mismatch (origin=1, fr=0)
Line 242: \p count mismatch (origin=0, fr=2)
Line 242: \l count mismatch (origin=0, fr=2)
Line 242: segment too long (69>36) ->  Hey vous! Oui, vous ! Avez-vous des {COLOR}ÉPièces d'Étoile{COLOR}Ë ou {COLOR}ÉFossiles{COLOR}Ë pour
Line 245: \l count mismatch (origin=0, fr=1)
Line 245: segment too long (62>36) ->  Alors, vous êtes prêt à vous séparer de vos {COLOR}É{STR_VAR_2} {STR_VAR_1}s{COLOR}Ë, en échange de
Line 247: \p count mismatch (origin=1, fr=0)
Line 247: segment too long (37>36) ->  Et maintenant, à moi de tenir ma fin
Line 248: segment too long (68>36) ->  Si vous rencontrez plus de Star Pieces ou de Fossiles, dites-le-moi
Line 249: \p count mismatch (origin=0, fr=3)
Line 249: segment too long (89>36) ->  Grr… {FONT_SMALL}(À quel point cela doit-il être difficile de lever ma glorieuse armée fossilisée{FONT_NORMAL_COPY_1}…{FONT_SMALL}?)
Line 250: \p count mismatch (origin=0, fr=1)
