0x3EA694: DEFEATED
0x3EB59B: Test
0x3EB5A0: Dept. Store
0x3EB5AC: Television
0x3EB5B7: Phone
0x3EB5BD: Item
0x3EB5C2: Name
0x3EB5C7: News
0x3EB5CC: Popular
0x3EB5D4: Party
0x3EB5DA: Study
0x3EB5E0: Machine
0x3EB5E8: Mail
0x3EB5ED: Message
0x3EB5F5: Promise
0x3EB5FD: Dream
0x3EB603: Kindergarten
0x3EB610: Life
0x3EB615: Radio
0x3EB61B: Ental
0x3EB621: WorldD
0x3EB849: ANIME
0x3EB84F: SONG
0x3EB854: MOVIE
0x3EB85A: SWEETS
0x3EB861: CHAT
0x3EB866: CHILD’S PLAY
0x3EB873: TOYS
0x3EB878: MUSIC
0x3EB87E: CARDS
0x3EB884: SHOPPING
0x3EB88D: CAMERA
0x3EB894: VIEWING
0x3EB89C: SPECTATOR
0x3EB8A6: GOURMET
0x3EB8AE: GAME
0x3EB8B7: COLLECTION
0x3EB8C2: COMPLETE
0x3EB8CB: MAGAZINE
0x3EB8D4: WALK
0x3EB8D9: BIKE
0x3EB8DE: HOBBY
0x3EB8E4: SPORTS
0x3EB8EB: SOFTWARE
0x3EB8F4: SONGS
0x3EB8FA: DIET
0x3EB8FF: TREASURE
0x3EB908: TRAVEL
0x3EB90F: DANCE
0x3EB915: CHANNEL
0x3EB91D: MAKING
0x3EB924: FISHING
0x3EB92C: DATE
0x3EB931: DESIGN
0x3EB938: LOCOMOTIVE
0x3EB943: PLUSH DOLL
0x3EB951: FLOWERS
0x3EB959: HERO
0x3EB962: HEROINE
0x3EB96A: FASHION
0x3EB972: ADVENTURE
0x3EB97C: BOARD
0x3EB982: BALL
0x3EB987: BOOK
0x3EB98C: FESTIVAL
0x3EB995: COMICS
0x3EB99C: HOLIDAY
0x3EB9A4: PLANS
0x3EB9AA: TRENDY
0x3EB9B1: VACATION
0x3EB9BA: LOOK
0x3EBC4D: MORNING
0x3EBC55: TOMORROW
0x3EBC5E: LAST
0x3EBC67: SOMETIME
0x3EBC70: ALWAYS
0x3EBC77: CURRENT
0x3EBC7F: FOREVER
0x3EBC87: DAYS
0x3EBC90: TUESDAY
0x3EBC98: YESTERDAY
0x3EBCA2: TODAY
