0xA44CE7: Michael
0xA45213: Paula
0xA45219: Skeli
0xA4521F: Golche
0xA45226: Thanasis
0xA4522F: Lixdel
0xA45236: Cynthia
0xA4524B: Big Mo
0xA45252: Galavan
0xA4525A: Candice
0xA45262: Giovanni
0xA4526B: Milo
0xA45270: Marlon
0xA4527B: Tessy
0xA45281: Cathy
0xA45287: Ginger
0xA4528E: Abimbola
0xA45297: Mahina
0xA4529E: Alford
0xA452A5:  FばSurprised to see someone my age?\nI promise you, I’m not weak.
0xA452E6: I guess dropping out of school\nwasn’t so smart…
0xA45316: Heh, I told you I wasn’t a\npushover!
0xA4533B: I left school to be here…\pI won’t let you stand between me\nand greatness!
0xA45385: That was a good battle!\nI look forward to our rematch.
0xA453BC: You fight worse than my grandma!\nThough Grandma’s a tough cookie…
0xA453FE: I’m just a young kid, you should\ngo easy on me!
0xA4542E: Waaah! I’m telling on you!
0xA45449: Beaten by a little kid…\nHow can you sleep at night?
0xA4547D: The way of the Bug Catcher!\nBear witness to it!
0xA454AD: All hail Bug Catchers!
0xA454C4: This is the way of the Bug\nCatcher!
0xA454E8: I’ll snag you with my net!
0xA45503: Hey! Don’t run away!
0xA45518: It’s in the bag!
0xA45529: I catch and raise all sorts of Bug\nPokémon.
0xA45555: I need to raise my Pokémon some\nmore!
0xA4557B: See? I’ve raised them pretty good.
0xA4559E: I’m on the lookout for adorable\naccessories.
0xA455CB: I wish I could dress up!
0xA455E4: Let me know if you find any nice\naccessories!
0xA45612: I make it a policy to wear\nminiskirts!
0xA45639: What’s your policy?
0xA4564D: Miniskirts are the ultimate!
0xA4566A: Here goes!
0xA45675: How could you bully a poor little\ngirl?
0xA4569D: Caught you snoozing!
0xA456B2: The sea, my beautiful sea!
0xA456CD: I want to become a big man.\nBig like the sea big.
0xA456FF: Oh… I hear them…\pI hear the sound of waves…
0xA4572B: I’m the Sailor among Sailors!\nI was born on the high seas!
0xA45766: Urp… Gweh…\pSo, when I get up on land, I get\nno-motion sickness…
0xA457A6: The waves rocked me to sleep!\nThe sea was my mother!
0xA457DB: Come on! Take a run at me! I can\ntake it!
0xA45805: Good job! Way to overcome my size!
0xA45828: So, what’d you think?\nI was too burly for you to handle?
0xA45861: My Pokémon trained in forests.
0xA45880: I’m going back to the forest.
0xA4589E: It’s the power of the forests.
0xA458BD: The indefatigable Camper makes his\nstand!
0xA458E7: I wish I could become your\ndevotee.
0xA4590B: You can become a devotee if you’d\nlike.
0xA45933: Hunh? Where is everyone?
0xA4594C: I came to camp, but I think I got\nseparated from my friends…
0xA45989: Hey, guys! Where are you?!
0xA459A4: I’ll battle you like I’m on a\npicnic!
0xA459CA: Pretending this is a picnic won’t\nlet me win.
